"date","location_name","value","location"
"2025-11-15","Alaska",0.0033,"02"
"2025-11-15","Arkansas",0.0035,"05"
"2025-11-15","Idaho",0.0069,"16"
"2025-11-15","Iowa",0.0011,"19"
"2025-11-15","Kentucky",0.0027,"21"
"2025-11-15","Louisiana",0.0152,"22"
"2025-11-15","Maryland",0.0053,"24"
"2025-11-15","Oklahoma",0.0015,"40"
"2025-11-15","Texas",0.0133,"48"
"2025-11-15","Virginia",0.0049,"51"
"2025-11-15","Wyoming",0,"56"
"2025-11-15","Alabama",0.0066,"01"
"2025-11-15","Connecticut",0.0033,"09"
"2025-11-15","Delaware",0.0029,"10"
"2025-11-15","District of Columbia",0.0046,"11"
"2025-11-15","Florida",0.0125,"12"
"2025-11-15","Hawaii",0.0237,"15"
"2025-11-15","Indiana",0.0027,"18"
"2025-11-15","Kansas",0.0017,"20"
"2025-11-15","Michigan",0.0027,"26"
"2025-11-15","Montana",0.0031,"30"
"2025-11-15","Nebraska",0.001,"31"
"2025-11-15","New Hampshire",0.0024,"33"
"2025-11-15","New Mexico",0.0036,"35"
"2025-11-15","North Dakota",0.001,"38"
"2025-11-15","Pennsylvania",0.0028,"42"
"2025-11-15","Rhode Island",0.0026,"44"
"2025-11-15","South Dakota",2e-04,"46"
"2025-11-15","Washington",0.0047,"53"
"2025-11-15","Arizona",0.0029,"04"
"2025-11-15","California",0.0027,"06"
"2025-11-15","Colorado",0.0084,"08"
"2025-11-15","Illinois",0.0035,"17"
"2025-11-15","Minnesota",0.0033,"27"
"2025-11-15","Nevada",0.0032,"32"
"2025-11-15","New Jersey",0.0047,"34"
"2025-11-15","North Carolina",0.0117,"37"
"2025-11-15","US",0.0059,"US"
"2025-11-15","Georgia",0.0043,"13"
"2025-11-15","Maine",0.0014,"23"
"2025-11-15","Massachusetts",0.0026,"25"
"2025-11-15","Mississippi",0.0087,"28"
"2025-11-15","New York",0.0053,"36"
"2025-11-15","Ohio",0.002,"39"
"2025-11-15","Oregon",0.0025,"41"
"2025-11-15","South Carolina",0.0035,"45"
"2025-11-15","Tennessee",0.0034,"47"
"2025-11-15","Utah",0.0066,"49"
"2025-11-15","Vermont",0.0033,"50"
"2025-11-15","West Virginia",0.0019,"54"
"2025-11-15","Wisconsin",0.002,"55"
"2025-11-08","Iowa",7e-04,"19"
"2025-11-08","Kansas",0.0015,"20"
"2025-11-08","Kentucky",0.0021,"21"
