date,location,location_name,value,weekly_rate
2023-09-23,02,Alaska,5,0.7028137852707098
2023-09-23,01,Alabama,11,0.21722911233470346
2023-09-23,05,Arkansas,6,0.1972465693890419
2023-09-23,04,Arizona,9,0.12259880032987251
2023-09-23,06,California,51,0.13115074155072276
2023-09-23,08,Colorado,8,0.13784196005753524
2023-09-23,09,Connecticut,16,0.44185602728902823
2023-09-23,11,District of Columbia,1,0.14957162686067105
2023-09-23,10,Delaware,0,0
2023-09-23,12,Florida,166,0.7482920459440497
2023-09-23,13,Georgia,30,0.27635877780883233
2023-09-23,15,Hawaii,5,0.35740401736411676
2023-09-23,19,Iowa,0,0
2023-09-23,16,Idaho,3,0.1549970266403723
2023-09-23,17,Illinois,23,0.18307589148407366
2023-09-23,18,Indiana,13,0.19028267369404975
2023-09-23,20,Kansas,4,0.13715299862744137
2023-09-23,21,Kentucky,13,0.2892501945207558
2023-09-23,22,Louisiana,18,0.3934362591730757
2023-09-23,25,Massachusetts,10,0.14329394373878546
2023-09-23,24,Maryland,6,0.0978293302114907
2023-09-23,23,Maine,1,0.07222599803689737
2023-09-23,26,Michigan,17,0.1694564683776786
2023-09-23,27,Minnesota,4,0.06997229796723477
2023-09-23,29,Missouri,16,0.25954909509019086
2023-09-23,28,Mississippi,20,0.6832222812450359
2023-09-23,30,Montana,3,0.2679616957687955
2023-09-23,37,North Carolina,13,0.12268129984045768
2023-09-23,38,North Dakota,1,0.129523444391052
2023-09-23,31,Nebraska,6,0.3058875710232704
2023-09-23,33,New Hampshire,2,0.14340083688728408
2023-09-23,34,New Jersey,29,0.31337335939591127
2023-09-23,35,New Mexico,8,0.3809380504257221
2023-09-23,32,Nevada,4,0.12636078721506827
2023-09-23,36,New York,19,0.09665674493658555
2023-09-23,39,Ohio,9,0.07660028854477581
2023-09-23,40,Oklahoma,17,0.4248655300597361
2023-09-23,41,Oregon,6,0.14155400344212152
2023-09-23,42,Pennsylvania,50,0.38552653209014903
2023-09-23,72,Puerto Rico,85,2.638285747452735
2023-09-23,44,Rhode Island,1,0.09171030548702758
2023-09-23,45,South Carolina,31,0.5909220270760472
2023-09-23,46,South Dakota,0,0
2023-09-23,47,Tennessee,25,0.3555880736897966
2023-09-23,48,Texas,129,0.4312275755392877
2023-09-23,US,US,978,0.29440090478488945
2023-09-23,49,Utah,2,0.059237530055641814
2023-09-23,51,Virginia,45,0.5242393112846823
2023-09-23,50,Vermont,1,0.15458100817733533
2023-09-23,53,Washington,31,0.4007324872793289
2023-09-23,55,Wisconsin,0,0
2023-09-23,54,West Virginia,5,0.28169379096179836
2023-09-23,56,Wyoming,0,0
2023-09-16,02,Alaska,5,0.7028137852707098
2023-09-16,01,Alabama,20,0.39496202242673356
2023-09-16,05,Arkansas,7,0.23012099762054888
2023-09-16,04,Arizona,10,0.1362208892554139
2023-09-16,06,California,41,0.10543490987411046
2023-09-16,08,Colorado,2,0.03446049001438381
2023-09-16,09,Connecticut,9,0.2485440153500784
2023-09-16,11,District of Columbia,0,0
2023-09-16,10,Delaware,0,0
2023-09-16,12,Florida,156,0.7032142118510347
2023-09-16,13,Georgia,28,0.2579348592882435
2023-09-16,15,Hawaii,8,0.5718464277825869
2023-09-16,19,Iowa,0,0
2023-09-16,16,Idaho,0,0
2023-09-16,17,Illinois,18,0.14327678463970983
2023-09-16,18,Indiana,9,0.1317341587112652
2023-09-16,20,Kansas,3,0.10286474897058102
