model_id,weight
UGA_flucast-INFLAenza,0.298787291672542
CU-ensemble,0.209711320588872
NAU-vulPES,0.147191126292371
CMU-TimeSeries,0.123313750068919
UMass-flusion,0.103309766961462
OHT_JHU-nbxd,0.0250715044699579
Cornell_JHU-hierarchSIR,0.0210043996125086
MIGHTE-Joint,0.0175970613814023
CEPH-Rtrend_fluH,0.0123509368826226
LUcompUncertLab-puca,0.00866881342129926
Gatech-ensemble_stat,0.00726255664016614
PSI-PROF_MOA,0.00608442313708443
MIGHTE-Nsemble,0.00509740670473331
NAU-FourCAT,0.00509740670473331
LosAlamos-DoSiDo,0.00357774216448186
LosAlamos-ThinMint,0.00176249764782812
UGA_CEID-auto_AVG_LB,0.00147658489961973
UVAFluX-Ensemble,0.00123705297903332
PSI-PROF,0.00103637797821806
NAU-epymorph,0.000300211492152318
UGA_CEID-Walk,6.10374249686097e-05
LosAlamos_NAU-CModel_Flu,7.30875023831082e-07
