"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.01,93.8972857957975
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.025,94.9909747206722
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.05,95.9189240664201
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.1,97.0592276404317
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.15,97.7794327096772
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.2,98.3279914741967
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.25,98.8174528132728
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.3,99.2755358558188
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.35,99.6849813461902
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.4,100.058256907443
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.45,100.453387580023
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.5,101.043317526737
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.55,101.194676658813
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.6,101.575204963734
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.65,101.948672280723
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.7,102.379396188093
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.75,102.827152134866
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.8,103.302458714678
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.85,103.914566583031
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.9,104.649904737067
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.95,105.780785232639
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.975,106.63948095959
2023-11-11,"wk inc flu hosp",-1,2023-11-04,"06","quantile",0.99,107.585840045972
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.01,89.4140394807532
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.025,93.1100756927939
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.05,96.4836706683557
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.1,100.310864661093
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.15,102.900703202635
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.2,104.994626294984
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.25,106.877918629468
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.3,108.480438116147
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.35,109.960004890139
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.4,111.316684403367
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.45,112.700682427616
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.5,117.61037009155
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.55,115.363251327984
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.6,116.714734459655
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.65,118.147607017979
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.7,119.611186739002
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.75,121.159202575967
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.8,122.858807049143
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.85,124.937574070712
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.9,127.432913080159
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.95,131.047104104073
2023-11-11,"wk inc flu hosp",0,2023-11-11,"06","quantile",0.975,134.378329702801
