output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,1,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.025,2,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.05,2,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.1,3,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.15,4,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.2,4,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.25,5,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.3,5,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.35,6,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.4,6,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.45,7,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.5,7,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.55,8,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.6,8,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.65,9,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.7,9,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.75,10,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.8,10,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.85,11,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.9,12,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.95,14,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.975,16,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.99,18,2026-02-21,wk inc flu hosp,-1,2026-02-14,02
quantile,0.01,0,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.025,0,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.05,1,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.1,1,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.15,2,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.2,2,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.25,2,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.3,3,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.35,3,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.4,3,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.45,4,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.5,4,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.55,5,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.6,5,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.65,5,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.7,6,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.75,7,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.8,7,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.85,8,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.9,10,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.95,12,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.975,14,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.99,16,2026-02-21,wk inc flu hosp,0,2026-02-21,02
quantile,0.01,0,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.025,0,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.05,0,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.1,0,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.15,0,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.2,1,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.25,1,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.3,1,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.35,1,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.4,2,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.45,2,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.5,2,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.55,3,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.6,3,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.65,4,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.7,4,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.75,5,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.8,6,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.85,7,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.9,9,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.95,13,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.975,17,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.99,24,2026-02-21,wk inc flu hosp,1,2026-02-28,02
quantile,0.01,15,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.025,21,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.05,30,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.1,38,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.15,47,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.2,55,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.25,62.75,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.3,70,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.35,79,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.4,87,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.45,93,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.5,103,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.55,114,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.6,124.39999999999986,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.65,137,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.7,151,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.75,168.25,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.8,192.20000000000005,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.85,227,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.9,274,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.95,364.04999999999995,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.975,443.0749999999996,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.99,578.02,2026-02-21,wk inc flu hosp,-1,2026-02-14,01
quantile,0.01,5,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.025,8,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.05,12,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.1,18,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.15,23.849999999999966,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.2,29,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.25,34,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.3,39,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.35,44,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.4,51,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.45,58,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.5,65,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.55,73.45000000000005,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.6,84,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.65,95,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.7,109,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.75,126,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.8,152.20000000000005,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.85,188,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.9,235.10000000000014,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.95,326.04999999999995,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.975,435.0499999999997,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.99,664.06,2026-02-21,wk inc flu hosp,0,2026-02-21,01
quantile,0.01,1,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.025,2,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.05,3,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.1,7,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.15,10,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.2,14,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.25,17,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.3,22,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.35,26,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.4,31,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.45,36,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.5,43,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.55,52,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.6,62,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.65,72,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.7,87,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.75,106,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.8,133,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.85,163,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.9,222.20000000000027,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.95,377.1999999999998,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.975,578.0249999999999,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.99,863.1299999999999,2026-02-21,wk inc flu hosp,1,2026-02-28,01
quantile,0.01,72.99000000000001,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.025,87,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.05,103,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.1,119,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.15,129,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.2,137,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.25,145,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.3,151,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.35,158,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.4,165,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.45,171,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.5,178,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.55,186,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.6,193,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.65,200,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.7,208,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.75,218,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.8,228,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.85,242.14999999999986,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.9,263,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.95,290.04999999999995,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.975,325.0749999999996,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.99,377.14999999999986,2026-02-21,wk inc flu hosp,-1,2026-02-14,05
quantile,0.01,59.99,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.025,71.975,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.05,82.95,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.1,103,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.15,113,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.2,124,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.25,133,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.3,141.69999999999993,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.35,149,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.4,160,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.45,170,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.5,179,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.55,187,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.6,197,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.65,209,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.7,222,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.75,236,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.8,256,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.85,276,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.9,308,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.95,358.0999999999999,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.975,417,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.99,516.03,2026-02-21,wk inc flu hosp,0,2026-02-21,05
quantile,0.01,31,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.025,45,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.05,58,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.1,75,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.15,90,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.2,102,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.25,115,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.3,128,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.35,141,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.4,155,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.45,168,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.5,181,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.55,199.45000000000005,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.6,213,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.65,231,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.7,247,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.75,269,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.8,299.20000000000005,2026-02-21,wk inc flu hosp,1,2026-02-28,05
quantile,0.85,336,2026-02-21,wk inc flu hosp,1,2026-02-28,05
