output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0081961214782290525,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.025,0.00838963002707119,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.05,0.008595150140814162,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.1,0.008836829467474373,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.15,0.008993857853173443,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.2,0.00911461506592255,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.25,0.009223271398111483,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.3,0.009295695715208148,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.35,0.00939224500237547,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.4,0.009476710192944845,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.45,0.009585287132330552,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.5,0.009669719407638347,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.55,0.009747504939699215,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.6,0.009838540778803303,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.65,0.009922929882020625,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.7,0.009995251950961176,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.75,0.010115765255815652,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.8,0.01022420214708245,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.85,0.010380791276727799,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.9,0.01057344835557935,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.95,0.010838229390942597,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.975,0.011054763034039914,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.99,0.01131940676101752,2026-03-28,wk inc flu prop ed visits,-1,2026-03-21,13
quantile,0.01,0.0056403223887190445,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.025,0.006025980910568755,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.05,0.00637327788194764,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.1,0.006830500348107906,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.15,0.007181872058013401,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.2,0.0073672165704735965,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.25,0.0075898499808520845,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.3,0.007768836696057595,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.35,0.007970058402806103,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.4,0.008159956519430616,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.45,0.008310855309338408,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.5,0.008480152576411694,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.55,0.008657506781414812,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.6,0.008818573996547011,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.65,0.009021858401460359,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.7,0.009255182965977079,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.75,0.009476725802342292,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.8,0.00980515348653602,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.85,0.010130891397001298,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.9,0.010526690421940703,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.95,0.011222442253008693,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.975,0.012047904068293926,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.99,0.012976449338449715,2026-03-28,wk inc flu prop ed visits,0,2026-03-28,13
quantile,0.01,0.002883184043725771,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.025,0.003301984823957162,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.05,0.003816478740690415,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.1,0.004500118939334151,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.15,0.004942644391108564,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.2,0.0054307068869867085,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.25,0.0058204762264538155,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.3,0.006117805201593371,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.35,0.00648725125330832,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.4,0.006903446333482898,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.45,0.007222944523521173,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.5,0.007624622518618576,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.55,0.008026932652206548,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.6,0.008400953422253986,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.65,0.008830290792229882,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.7,0.009389322897203225,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.75,0.010035516709188466,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.8,0.010829162172339786,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.85,0.011764084352515695,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.9,0.013322865719810017,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.95,0.015178407445677802,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.975,0.018224091302677332,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.99,0.02294231168074229,2026-03-28,wk inc flu prop ed visits,1,2026-04-04,13
quantile,0.01,78,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.025,88.975,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.05,98,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.1,109,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.15,117,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.2,123,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.25,129,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.3,134,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.35,139,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
quantile,0.4,143,2026-03-28,wk inc flu hosp,-1,2026-03-21,13
