reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.01,1
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.025,2
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.05,2
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.1,3
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.15,4
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.2,5
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.25,6
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.3,6
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.35,7
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.4,7
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.45,8
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.5,8
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.55,9
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.6,10
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.65,10
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.7,11
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.75,12
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.8,14
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.85,15
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.9,17
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.95,20
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.975,23
2025-04-19,wk inc flu hosp,0,2025-04-19,02,quantile,0.99,28
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.01,0
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.025,1
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.05,1
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.1,2
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.15,2
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.2,3
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.25,4
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.3,4
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.35,5
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.4,5
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.45,6
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.5,7
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.55,7
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.6,8
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.65,9
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.7,10
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.75,11
2025-04-19,wk inc flu hosp,1,2025-04-26,02,quantile,0.8,13
