output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.025,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.05,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.1,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.15,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.2,0,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.25,1,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.3,1,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.35,1,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.4,1,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.45,2,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.5,2,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.55,2,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.6,2,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.65,3,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.7,3,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.75,3,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.8,4,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.85,4,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.9,5,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.95,7,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.975,9,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.99,11,2026-04-25,wk inc flu hosp,0,2026-04-25,02
quantile,0.01,5,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.025,6,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.05,7,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.1,9,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.15,10,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.2,12,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.25,13,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.3,13.699999999999932,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.35,14,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.4,16,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.45,17,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.5,18,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.55,19,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.6,21,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.65,22,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.7,23,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.75,25,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.8,27,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.85,30,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.9,34,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.95,40,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.975,47,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.99,56,2026-04-25,wk inc flu hosp,0,2026-04-25,01
quantile,0.01,0,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.025,0,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.05,0,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.1,0,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.15,0,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.2,1,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.25,1,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.3,1,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.35,1,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.4,2,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.45,2,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.5,2,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.55,2,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.6,2,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.65,3,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.7,3,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.75,3,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.8,4,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.85,4,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.9,5,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.95,7,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.975,8,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.99,9.009999999999991,2026-04-25,wk inc flu hosp,0,2026-04-25,05
quantile,0.01,21.990000000000002,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.025,25,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.05,28,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.1,32,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.15,37,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.2,40,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.25,42,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.3,45,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.35,48,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.4,50,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.45,53,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.5,57,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.55,59,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.6,62,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.65,66,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.7,69,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.75,73,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.8,77,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.85,82.14999999999986,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.9,91,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.95,104,2026-04-25,wk inc flu hosp,0,2026-04-25,04
quantile,0.975,116.02499999999986,2026-04-25,wk inc flu hosp,0,2026-04-25,04
