reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.01,30.140669252776807
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.025,30.703032374105213
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.05,32.63467551058526
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.1,35.654844532111895
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.15,37.75231380711834
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.2,39.03840404933515
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.25,40.17946931133129
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.3,41.06915445209759
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.35,41.83218925359456
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.4,42.525670533670734
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.45,43.0713181828773
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.5,44.97304474867104
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.55,46.81671165039229
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.6,47.292896020791005
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.65,47.89803523751489
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.7,48.54994494788248
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.75,49.30521232699498
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.8,50.36652578730909
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.85,51.64440143855937
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.9,53.64352302879006
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.95,56.524949944909864
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.975,59.03649648728438
2025-03-08,wk inc flu hosp,-1,2025-03-01,02,quantile,0.99,61.88189670057173
