reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.01,0
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.025,0.016586985579031946
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.05,0.45915574746737464
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.1,1.042994976896661
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.15,1.2621343904460802
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.2,1.5570926249053423
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.25,2.2834450062474168
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.3,2.5480096358768853
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.35,2.8702774514907956
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.4,3.615097588798397
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.45,4.568899850900295
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.5,5.727547148199857
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.55,7.259695960582548
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.6,8.743153998467946
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.65,9.950441306162755
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.7,11.37358895769638
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.75,12.559235639117878
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.8,14.52402608923139
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.85,21.511364994111226
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.9,27.306902727544795
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.95,35.28117705079823
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.975,41.778161640984905
2025-04-12,wk inc flu hosp,-1,2025-04-05,02,quantile,0.99,51.5682019829828
2025-04-12,wk inc flu hosp,0,2025-04-12,02,quantile,0.01,0
2025-04-12,wk inc flu hosp,0,2025-04-12,02,quantile,0.025,0
2025-04-12,wk inc flu hosp,0,2025-04-12,02,quantile,0.05,0.37983310901753464
2025-04-12,wk inc flu hosp,0,2025-04-12,02,quantile,0.1,0.9724522919757497
