reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.01,19133.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.025,23823.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.05,28726.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.1,32716.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.15,34514.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.2,35739.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.25,36840.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.3,37589.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.35,38252.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.4,38850.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.45,39981.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.5,41238.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.55,42232.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.6,43048.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.65,43667.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.7,44344.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.75,45084.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.8,45991.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.85,47658.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.9,49115.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.95,51229.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.975,53954.0
2025-02-15,wk inc flu hosp,0,2025-02-15,US,quantile,0.99,59127.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.01,14940.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.025,17861.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.05,21034.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.1,25487.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.15,27965.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.2,29418.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.25,30613.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.3,31871.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.35,32742.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.4,33585.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.45,34515.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.5,35461.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.55,36223.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.6,37065.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.65,38279.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.7,39475.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.75,40349.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.8,41183.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.85,42266.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.9,44103.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.95,46889.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.975,49915.0
2025-02-15,wk inc flu hosp,1,2025-02-22,US,quantile,0.99,54981.0
2025-02-15,wk inc flu hosp,2,2025-03-01,US,quantile,0.01,12853.0
2025-02-15,wk inc flu hosp,2,2025-03-01,US,quantile,0.025,15138.0
