reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-01-03,wk inc flu hosp,-1,US,quantile,0.01,29544.269999999997,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.025,30205.0,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.05,30930.549999999996,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.1,32106.899999999998,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.15,32841.9,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.2,33458.6,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.25,34198.5,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.3,34710.9,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.35,35224.0,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.4,35602.0,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.45,36022.700000000004,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.5,36540.0,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.55,37099.299999999996,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.6,37557.799999999996,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.65,38103.450000000004,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.7,38502.1,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.75,39056.5,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.8,39810.4,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.85,40468.049999999996,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.9,41363.0,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.95,42856.09999999999,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.975,44457.525,2025-12-27
2026-01-03,wk inc flu hosp,-1,US,quantile,0.99,46109.21,2025-12-27
2026-01-03,wk inc flu hosp,0,US,quantile,0.01,30323.859999999997,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.025,32213.825000000004,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.05,33702.9,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.1,35183.4,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.15,36167.950000000004,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.2,37094.4,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.25,37623.25,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.3,38448.9,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.35,39060.0,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.4,39841.200000000004,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.45,40575.85,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.5,41118.0,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.55,41674.15,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.6,42320.6,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.65,42954.799999999996,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.7,43574.299999999996,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.75,44345.0,2026-01-03
2026-01-03,wk inc flu hosp,0,US,quantile,0.8,45158.40000000001,2026-01-03
