reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.01,2
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.025,3
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.05,4
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.1,4
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.15,5
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.2,6
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.25,6
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.3,6
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.35,7
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.4,7
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.45,8
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.5,8
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.55,9
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.6,9
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.65,10
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.7,11
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.75,11
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.8,12
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.85,13
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.9,15
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.95,18
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.975,20
2026-05-02,wk inc flu hosp,0,2026-05-02,45,quantile,0.99,24
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.01,2
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.025,2
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.05,3
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.1,3
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.15,4
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.2,4
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.25,5
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.3,5
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.35,5
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.4,6
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.45,6
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.5,6
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.55,7
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.6,7
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.65,8
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.7,8
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.75,9
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.8,10
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.85,11
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.9,12
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.95,14
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.975,16
2026-05-02,wk inc flu hosp,1,2026-05-09,45,quantile,0.99,19
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.01,3
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.025,3
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.05,4
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.1,5
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.15,5
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.2,6
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.25,6
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.3,7
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.35,7
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.4,8
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.45,8
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.5,9
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.55,9
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.6,10
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.65,11
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.7,11
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.75,12
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.8,13
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.85,14
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.9,16
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.95,19
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.975,22
2026-05-02,wk inc flu hosp,2,2026-05-16,45,quantile,0.99,25
2026-05-02,wk inc flu hosp,3,2026-05-23,45,quantile,0.01,2
2026-05-02,wk inc flu hosp,3,2026-05-23,45,quantile,0.025,3
