reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.01,0.0067277383
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.025,0.0070346044
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.05,0.007456741
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.1,0.007778656
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.15,0.0079803
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.2,0.008240479
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.25,0.008325561
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.3,0.008470832
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.35,0.008607732
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.4,0.008715359
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.45,0.008818826
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.5,0.008940374
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.55,0.0090459855
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.6,0.009166861
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.65,0.009297033
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.7,0.009392741
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.75,0.009552574
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.8,0.009733412
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.85,0.009946786
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.9,0.010349515
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.95,0.010633637
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.975,0.011293185
2026-04-11,wk inc flu prop ed visits,0,2026-04-11,45,quantile,0.99,0.0119818365
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.01,0.0038225395
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.025,0.0042857137
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.05,0.0046567386
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.1,0.004830672
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.15,0.0049755606
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.2,0.0051241587
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.25,0.0052228207
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.3,0.0053188642
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.35,0.005457548
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.4,0.00549659
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.45,0.005598264
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.5,0.005703681
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.55,0.0057309587
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.6,0.0058270153
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.65,0.0058990926
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.7,0.0060006846
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.75,0.0060920957
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.8,0.0062235147
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.85,0.0062946905
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.9,0.006512946
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.95,0.0068721273
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.975,0.0072771166
2026-04-11,wk inc flu prop ed visits,1,2026-04-18,45,quantile,0.99,0.008095473
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.01,0.0028572879
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.025,0.0032536082
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.05,0.0033701234
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.1,0.0035588911
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.15,0.0036897827
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.2,0.0038019724
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.25,0.0038574596
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.3,0.0039078584
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.35,0.0039919713
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.4,0.0040467936
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.45,0.0041286363
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.5,0.0042145755
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.55,0.0042439816
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.6,0.0042761103
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.65,0.00433475
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.7,0.004409594
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.75,0.0045129773
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.8,0.004582345
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.85,0.004638711
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.9,0.0048354417
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.95,0.0050867787
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.975,0.005479384
2026-04-11,wk inc flu prop ed visits,2,2026-04-25,45,quantile,0.99,0.00614893
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.01,0.0018118295
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.025,0.0023030902
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.05,0.002451606
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.1,0.0026522707
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.15,0.0027952238
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.2,0.0028701285
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.25,0.0029600332
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.3,0.0030432355
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.35,0.0030935581
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.4,0.0031484345
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.45,0.0031688898
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.5,0.0032022956
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.55,0.0033142967
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.6,0.0033317502
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.65,0.0034139722
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.7,0.003423352
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.75,0.0034862566
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.8,0.003563892
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.85,0.0036894463
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.9,0.0037400967
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.95,0.004099483
2026-04-11,wk inc flu prop ed visits,3,2026-05-02,45,quantile,0.975,0.0044382303
