"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.01",25
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.025",30
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.05",37
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.1",44
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.15",48
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.2",50
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.25",54
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.3",55
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.35",59
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.4",62
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.45",65
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.5",68
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.55",69
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.6",75
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.65",78
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.7",82
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.75",87
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.8",93
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.85",97
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.9",106
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.95",118
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.975",121
2026-03-21,"01",0,"wk inc flu hosp",2026-03-21,"quantile","0.99",143
2026-03-21,"01",1,"wk inc flu hosp",2026-03-28,"quantile","0.01",15
2026-03-21,"01",1,"wk inc flu hosp",2026-03-28,"quantile","0.025",19
2026-03-21,"01",1,"wk inc flu hosp",2026-03-28,"quantile","0.05",23
2026-03-21,"01",1,"wk inc flu hosp",2026-03-28,"quantile","0.1",29
2026-03-21,"01",1,"wk inc flu hosp",2026-03-28,"quantile","0.15",33
