reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.01,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.025,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.05,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.1,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.15,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.2,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.25,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.3,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.35,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.4,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.45,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.5,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.55,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.6,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.65,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.7,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.75,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.8,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.85,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.9,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.95,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.975,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,01,quantile,0.99,430
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.01,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.025,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.05,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.1,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.15,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.2,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.25,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.3,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.35,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.4,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.45,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.5,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.55,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.6,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.65,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.7,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.75,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.8,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.85,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.9,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.95,15
2024-12-28,-1,wk inc flu hosp,2024-12-21,02,quantile,0.975,15
