"model_id","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"02","pmf","large_increase",0.000904409111050053
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"01","pmf","large_increase",0.000358323149968309
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"05","pmf","large_increase",0.000245203318613219
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"04","pmf","large_increase",2.22806354468474e-05
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"06","pmf","large_increase",0.00978421176081301
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"08","pmf","large_increase",0.00741324753464589
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"09","pmf","large_increase",0.00340186181046298
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"11","pmf","large_increase",0.00146717140031516
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"10","pmf","large_increase",0.0201087883850771
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"12","pmf","large_increase",0.00970500687159181
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"13","pmf","large_increase",0.00675794915154693
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"15","pmf","large_increase",0.00820720729645874
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"19","pmf","large_increase",0.0410475468317184
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"16","pmf","large_increase",0.027911589272346
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"17","pmf","large_increase",0.0151737045800411
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"18","pmf","large_increase",0.00671391995288095
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"20","pmf","large_increase",3.33644638085273e-05
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"21","pmf","large_increase",2.03880690108349e-10
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"22","pmf","large_increase",2.90368726174606e-07
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"25","pmf","large_increase",7.24975635080227e-14
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"24","pmf","large_increase",0.00118935309468193
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"23","pmf","large_increase",4.12560954510255e-05
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"26","pmf","large_increase",2.12628488260869e-07
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"27","pmf","large_increase",8.80957173876595e-09
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"29","pmf","large_increase",0.0416044647428652
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"28","pmf","large_increase",0.0463856046157058
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"30","pmf","large_increase",0.0199730012475033
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"37","pmf","large_increase",0.0209186054948811
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"38","pmf","large_increase",0.0155638954941966
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"31","pmf","large_increase",0.00752800501915463
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"33","pmf","large_increase",0.0068747553349614
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"34","pmf","large_increase",0.00313381675679469
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"35","pmf","large_increase",0.0465832403592158
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"32","pmf","large_increase",0.0169292535054776
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"36","pmf","large_increase",0.0116290117038934
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"39","pmf","large_increase",0.00763557259719427
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"40","pmf","large_increase",1.11022302462516e-16
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"41","pmf","large_increase",3.51295120082362e-06
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"42","pmf","large_increase",1.20821720149822e-05
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"72","pmf","large_increase",6.84343692824996e-11
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"44","pmf","large_increase",0.0011365553737116
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"45","pmf","large_increase",0.000658130767705822
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"46","pmf","large_increase",7.27409770057141e-05
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"47","pmf","large_increase",3.3297361112794e-07
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"48","pmf","large_increase",0.00575294962305117
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"US","pmf","large_increase",0.000646472664687869
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"49","pmf","large_increase",0.00100187227195636
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"51","pmf","large_increase",0.00169111078083028
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"50","pmf","large_increase",0.0325686547106538
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"53","pmf","large_increase",0.0131436806659631
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"55","pmf","large_increase",0.00855883094187726
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"54","pmf","large_increase",0.00273625599723626
"FluSight-ens_q_cat",2024-03-09,0,"wk flu hosp rate change",2024-03-09,"56","pmf","large_increase",0.000824751221988218
"FluSight-ens_q_cat",2024-03-09,1,"wk flu hosp rate change",2024-03-16,"02","pmf","large_increase",3.54632984380654e-05
"FluSight-ens_q_cat",2024-03-09,1,"wk flu hosp rate change",2024-03-16,"01","pmf","large_increase",0.00197186760490853
"FluSight-ens_q_cat",2024-03-09,1,"wk flu hosp rate change",2024-03-16,"05","pmf","large_increase",0.00106667425348728
