reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-12-14,0,wk flu hosp rate change,2024-12-14,02,pmf,large_increase,0.010000000000000009
2024-12-14,0,wk flu hosp rate change,2024-12-14,01,pmf,large_increase,0.017481036393156457
2024-12-14,0,wk flu hosp rate change,2024-12-14,05,pmf,large_increase,0.003172771668695673
2024-12-14,0,wk flu hosp rate change,2024-12-14,04,pmf,large_increase,0.2479101739217855
2024-12-14,0,wk flu hosp rate change,2024-12-14,06,pmf,large_increase,0.013170893965604669
2024-12-14,0,wk flu hosp rate change,2024-12-14,08,pmf,large_increase,0.004098078390665338
2024-12-14,0,wk flu hosp rate change,2024-12-14,09,pmf,large_increase,0.0012413816891028162
2024-12-14,0,wk flu hosp rate change,2024-12-14,11,pmf,large_increase,0.01000000000000012
2024-12-14,0,wk flu hosp rate change,2024-12-14,10,pmf,large_increase,0.0342781557067271
2024-12-14,0,wk flu hosp rate change,2024-12-14,12,pmf,large_increase,0.006816418458889584
2024-12-14,0,wk flu hosp rate change,2024-12-14,13,pmf,large_increase,1.2677221535473127e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,15,pmf,large_increase,3.002839608498009e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,19,pmf,large_increase,3.068349837582751e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,16,pmf,large_increase,0.12046485260770967
2024-12-14,0,wk flu hosp rate change,2024-12-14,17,pmf,large_increase,1.4572505925536383e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,18,pmf,large_increase,3.835019639629733e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,20,pmf,large_increase,0.002681940253353665
2024-12-14,0,wk flu hosp rate change,2024-12-14,21,pmf,large_increase,0.003274950132132526
2024-12-14,0,wk flu hosp rate change,2024-12-14,22,pmf,large_increase,0.04081128747795426
2024-12-14,0,wk flu hosp rate change,2024-12-14,25,pmf,large_increase,0.005182332130039047
2024-12-14,0,wk flu hosp rate change,2024-12-14,24,pmf,large_increase,3.7167692257256135e-9
2024-12-14,0,wk flu hosp rate change,2024-12-14,23,pmf,large_increase,5.351030357423348e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,26,pmf,large_increase,9.542898484093953e-5
2024-12-14,0,wk flu hosp rate change,2024-12-14,27,pmf,large_increase,1.1336654303228944e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,29,pmf,large_increase,0.004711482377534715
2024-12-14,0,wk flu hosp rate change,2024-12-14,28,pmf,large_increase,0.008965080827874172
2024-12-14,0,wk flu hosp rate change,2024-12-14,30,pmf,large_increase,0.0015583652488152522
2024-12-14,0,wk flu hosp rate change,2024-12-14,37,pmf,large_increase,9.891722930676083e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,38,pmf,large_increase,0.00711220057477302
2024-12-14,0,wk flu hosp rate change,2024-12-14,31,pmf,large_increase,8.500757773137746e-4
2024-12-14,0,wk flu hosp rate change,2024-12-14,33,pmf,large_increase,0.007802218855849752
2024-12-14,0,wk flu hosp rate change,2024-12-14,34,pmf,large_increase,0.0019592630099367625
2024-12-14,0,wk flu hosp rate change,2024-12-14,35,pmf,large_increase,0.25
2024-12-14,0,wk flu hosp rate change,2024-12-14,32,pmf,large_increase,0.033011655497078296
2024-12-14,0,wk flu hosp rate change,2024-12-14,36,pmf,large_increase,0.004161534984084891
2024-12-14,0,wk flu hosp rate change,2024-12-14,39,pmf,large_increase,0.00232648581158712
2024-12-14,0,wk flu hosp rate change,2024-12-14,40,pmf,large_increase,0.013533669851696462
2024-12-14,0,wk flu hosp rate change,2024-12-14,41,pmf,large_increase,0.0040290247467282825
2024-12-14,0,wk flu hosp rate change,2024-12-14,42,pmf,large_increase,0.005472757198949241
2024-12-14,0,wk flu hosp rate change,2024-12-14,72,pmf,large_increase,0.07709246661627622
2024-12-14,0,wk flu hosp rate change,2024-12-14,44,pmf,large_increase,1.4320516468280253e-4
