"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"02","pmf","large_increase",0.00184397169992501
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"01","pmf","large_increase",0.000492724911968279
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"05","pmf","large_increase",0.000161635459580922
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"04","pmf","large_increase",2.31343307898202e-05
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"06","pmf","large_increase",5.35554489644596e-10
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"08","pmf","large_increase",1.95724739296965e-05
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"09","pmf","large_increase",0.000357530412035456
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"11","pmf","large_increase",0.0122212347841544
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"10","pmf","large_increase",0.00344791759612129
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"12","pmf","large_increase",0.00304155569217268
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"13","pmf","large_increase",7.45178845185102e-07
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"15","pmf","large_increase",0.0086833440884746
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"19","pmf","large_increase",2.48179722857067e-05
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"16","pmf","large_increase",0.010957705637384
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"17","pmf","large_increase",0.000164051200873039
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"18","pmf","large_increase",0.000464808440235775
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"20","pmf","large_increase",0.000109824870926811
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"21","pmf","large_increase",0.000441179155674098
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"22","pmf","large_increase",0.038569796605511
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"25","pmf","large_increase",9.21776010303077e-05
2025-11-22,0,"wk flu hosp rate change",2025-11-22,"24","pmf","large_increase",0.000306834983758275
