"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"20","pmf","large_increase",1.4432899320127e-15
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"55","pmf","large_increase",3.10862446895044e-15
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"15","pmf","large_increase",0.000166279423878146
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"21","pmf","large_increase",2.60316643796443e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"24","pmf","large_increase",8.47048919894178e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"31","pmf","large_increase",3.66373598126302e-15
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"53","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"17","pmf","large_increase",1.41305345202625e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"45","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"18","pmf","large_increase",9.84033674544804e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"38","pmf","large_increase",1.55551049041414e-07
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"41","pmf","large_increase",9.06809080598592e-05
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"42","pmf","large_increase",0.00214798902826108
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"09","pmf","large_increase",1.68515169929329e-07
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"23","pmf","large_increase",4.82052564532154e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"48","pmf","large_increase",7.32812699411056e-11
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"04","pmf","large_increase",6.81514858379417e-05
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"56","pmf","large_increase",0.00500002808639111
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"06","pmf","large_increase",4.38274971870101e-11
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"13","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"32","pmf","large_increase",0.00471148237753471
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"36","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"26","pmf","large_increase",1.70349029326999e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"22","pmf","large_increase",7.47545458181786e-05
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"28","pmf","large_increase",0.000202428955783374
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"34","pmf","large_increase",1.46868073258588e-11
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"72","pmf","large_increase",0.0627196712018142
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"01","pmf","large_increase",3.78012621204959e-10
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"47","pmf","large_increase",3.59040863706639e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"08","pmf","large_increase",1.11022302462516e-16
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"33","pmf","large_increase",3.89161426417317e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"44","pmf","large_increase",4.2187459109444e-06
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"35","pmf","large_increase",0.000290580621012282
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"US","pmf","large_increase",1.67643676718399e-14
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"27","pmf","large_increase",6.43883657502897e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"30","pmf","large_increase",2.65532484888809e-10
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"05","pmf","large_increase",4.68991345758951e-09
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"49","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"16","pmf","large_increase",7.59587343024393e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"29","pmf","large_increase",1.59664059751208e-10
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"39","pmf","large_increase",3.62445518098387e-05
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"40","pmf","large_increase",6.66888240186125e-08
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"12","pmf","large_increase",3.02475942326463e-06
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"54","pmf","large_increase",3.51925967111422e-05
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"50","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"10","pmf","large_increase",7.35172671406659e-07
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"51","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"11","pmf","large_increase",0.000933558312910199
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"19","pmf","large_increase",0
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"02","pmf","large_increase",0.00101339757202845
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"25","pmf","large_increase",1.04694123037596e-07
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"37","pmf","large_increase",1.28746568961446e-10
2026-05-16,0,"wk flu hosp rate change",2026-05-16,"46","pmf","large_increase",1.1844303315911e-11
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"20","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"55","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"15","pmf","large_increase",1.28778533936558e-06
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"21","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"24","pmf","large_increase",5.31784953627934e-07
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"31","pmf","large_increase",3.54516416223305e-12
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"53","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"17","pmf","large_increase",6.99706959039759e-12
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"45","pmf","large_increase",3.25517390820096e-13
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"18","pmf","large_increase",4.56002186166593e-06
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"38","pmf","large_increase",1.60370317026093e-08
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"41","pmf","large_increase",6.18773254856819e-10
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"42","pmf","large_increase",0.00037417973774001
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"09","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"23","pmf","large_increase",6.09567951670442e-12
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"48","pmf","large_increase",2.28450591777118e-12
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"04","pmf","large_increase",1.04800090827695e-09
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"56","pmf","large_increase",0.0018938770644148
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"06","pmf","large_increase",1.86850535044414e-13
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"13","pmf","large_increase",0
2026-05-16,1,"wk flu hosp rate change",2026-05-23,"32","pmf","large_increase",0.00247324471283428
