reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.01,3
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.025,6
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.05,7
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.1,10
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.15,12
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.2,13
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.25,14
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.3,15
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.35,16
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.4,18
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.45,19
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.5,22
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.55,23
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.6,26
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.65,28
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.7,30
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.75,33
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.8,35
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.85,38
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.9,42
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.95,49
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.975,54
2025-05-10,01,0,wk inc flu hosp,2025-05-10,quantile,0.99,61
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.01,2
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.025,3
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.05,4
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.1,5
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.15,6
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.2,7
2025-05-10,01,1,wk inc flu hosp,2025-05-17,quantile,0.25,9
