reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.01,110.49414033558568
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.025,136.134804705235
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.05,158.75082287783974
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.1,183.58734564772652
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.15,200.37436603551905
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.2,212.51641338566807
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.25,221.58212788001276
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.3,228.9434591939614
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.35,235.40733763689582
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.4,241.5538408284666
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.45,246.95482290190853
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.5,252.33215327875564
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.55,258.316094077072
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.6,264.4487523067952
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.65,270.8622081676705
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.7,278.4130803257984
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.75,287.28727647027995
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.8,297.6448559971448
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.85,311.3603212837598
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.9,330.61472465869423
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.95,372.2953835015046
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.975,427.0917325688307
2024-01-20,01,-1,wk inc flu hosp,2024-01-13,quantile,0.99,485.775040994489
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.01,11.076568603515623
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.025,79.6574242698504
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.05,108.82421509482137
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.1,133.26506181825766
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.15,147.7971440403536
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.2,160.5848468038534
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.25,170.43590705169527
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.3,178.03616007193432
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.35,187.84399302643794
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.4,196.46152384702373
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.45,204.85553736444018
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.5,213.8595052951093
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.55,224.4004909080136
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.6,235.59727968862475
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.65,247.84302751606532
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.7,262.75143953369616
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.75,281.6052084237382
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.8,303.56111265415404
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.85,329.72945893397946
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.9,369.6431934043172
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.95,420.8763836788936
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.975,484.33376641365885
2024-01-20,01,0,wk inc flu hosp,2024-01-20,quantile,0.99,543.2459875414013
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.01,0
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.025,5.754470295673665
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.05,55.507885894495885
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.1,85.29305662746863
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.15,105.41553680126238
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.2,121.44710223334533
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.25,133.69273063890415
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.3,145.20771059905377
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.35,157.01862191451764
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.4,167.26035998235267
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.45,177.42110552534692
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.5,190.23862119505503
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.55,204.0395538463215
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.6,218.6179433984405
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.65,235.58284786606845
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.7,254.98510550416455
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.75,278.5163346951764
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.8,308.80530457585024
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.85,334.3680468856151
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.9,381.73261891028176
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.95,468.237119375525
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.975,568.4284509203819
2024-01-20,01,1,wk inc flu hosp,2024-01-27,quantile,0.99,675.0492850247174
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.01,0
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.025,0
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.05,22.022381633127463
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.1,51.05495537212275
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.15,72.27706437945687
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.2,88.5856119023409
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.25,102.15224675622181
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.3,112.84813841801231
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.35,122.60636239858825
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.4,131.6364094761666
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.45,143.98379496200744
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.5,157.66759421550884
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.55,173.2080040242298
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.6,190.91804524874487
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.65,212.04718731114352
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.7,235.99410221290827
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.75,264.09878034016356
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.8,301.0055669426886
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.85,349.8168678558111
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.9,391.74066795145677
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.95,495.8451024545151
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.975,664.1712683365342
2024-01-20,01,2,wk inc flu hosp,2024-02-03,quantile,0.99,845.7852237737391
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.01,0
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.025,0
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.05,9.00508922260718
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.1,28.86460691571321
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.15,47.5009931208905
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.2,62.683041886691626
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.25,74.51391819812737
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.3,84.93058510291634
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.35,94.53710916779056
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.4,105.11037843713912
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.45,117.7571614891821
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.5,131.64043038516076
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.55,147.6667478334287
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.6,167.33911753592395
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.65,191.12863161480593
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.7,220.2492884026387
2024-01-20,01,3,wk inc flu hosp,2024-02-10,quantile,0.75,251.55380264620496
