reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.01,2.520625291436709
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.025,3.375
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.05,5.41
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.1,6.68
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.15,8
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.2,9
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.25,10
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.3,11
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.35,12.02
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.4,13.08
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.45,14.66
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.5,16
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.55,17.079409452004548
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.6,18
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.65,19
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.7,20
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.75,21
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.8,22.980717264299678
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.85,24.86411702447608
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.9,27.94015632849886
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.95,33.83712349518919
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.975,37
2026-05-09,01,0,wk inc flu hosp,2026-05-09,quantile,0.99,43.4034150136785
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.01,0.7068650111104
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.025,1.5
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.05,3
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.1,4
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.15,5.965
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.2,6.984999999999999
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.25,7.99
2026-05-09,01,1,wk inc flu hosp,2026-05-16,quantile,0.3,9.2105
