reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.01,111
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.025,125
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.05,138
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.1,153
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.15,164
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.2,173
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.25,180
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.3,188
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.35,194
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.4,201
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.45,207
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.5,213
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.55,220
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.6,227
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.65,233
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.7,241
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.75,249
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.8,258
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.85,269
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.9,284
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.95,305
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.975,325
2024-12-21,wk inc flu hosp,0,2024-12-21,01,quantile,0.99,348
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.01,69
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.025,80
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.05,90
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.1,102
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.15,110
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.2,117
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.25,124
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.3,129
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.35,135
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.4,140
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.45,145
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.5,151
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.55,156
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.6,161
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.65,167
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.7,173
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.75,180
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.8,188
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.85,197
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.9,209
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.95,227
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.975,244
2024-12-21,wk inc flu hosp,1,2024-12-28,01,quantile,0.99,264
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.01,12
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.025,18
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.05,24
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.1,32
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.15,38
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.2,44
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.25,48
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.3,53
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.35,57
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.4,62
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.45,66
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.5,70
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.55,75
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.6,79
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.65,84
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.7,90
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.75,96
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.8,103
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.85,111
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.9,122
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.95,140
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.975,156
2024-12-21,wk inc flu hosp,2,2025-01-04,01,quantile,0.99,176
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.01,2
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.025,5
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.05,9
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.1,15
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.15,20
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.2,25
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.25,29
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.3,33
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.35,37
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.4,41
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.45,45
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.5,49
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.55,53
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.6,58
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.65,63
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.7,68
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.75,74
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.8,81
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.85,90
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.9,101
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.95,120
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.975,137
2024-12-21,wk inc flu hosp,3,2025-01-11,01,quantile,0.99,158
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.01,7
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.025,9
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.05,10
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.1,12
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.15,14
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.2,15
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.25,16
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.3,17
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.35,18
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.4,19
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.45,19
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.5,20
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.55,21
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.6,22
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.65,23
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.7,24
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.75,26
2024-12-21,wk inc flu hosp,0,2024-12-21,02,quantile,0.8,27
