reference_date,horizon,location,target,target_end_date,output_type,output_type_id,value
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.01,20.007659444094596
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.025,23.530189431069044
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.05,26.788096945658637
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.1,30.80632355673178
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.15,33.67597573963904
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.2,36.047812385685795
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.25,38.14695782815424
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.3,40.08268010630917
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.35,41.919178374875536
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.4,43.69987150799379
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.45,45.45796589436366
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.5,47.2220372275293
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.55,49.01968893913815
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.6,50.880697101136015
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.65,52.84063369247521
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.7,54.94619571829678
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.75,57.26457630719386
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.8,59.90257614247851
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.85,63.05246087306017
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.9,67.13039502583136
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.95,73.4095379457349
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.975,79.08306281157952
2025-12-06,0,01,wk inc flu hosp,2025-12-06,quantile,0.99,85.94525314734739
2025-12-06,1,01,wk inc flu hosp,2025-12-13,quantile,0.01,15.322602509505744
2025-12-06,1,01,wk inc flu hosp,2025-12-13,quantile,0.025,18.945391638227044
