reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.01,155.12375
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.025,197.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.05,254.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.1,304.75
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.15,334.23125
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.2,351.5
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.25,365.125
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.3,379.5
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.35,396.5
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.4,410.5
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.45,426.625
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.5,438.9375
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.55,455.375
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.6,472.75
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.65,489.375
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.7,508.9125
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.75,532.28125
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.8,577.5
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.85,619.625
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.9,658.7625
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.95,753.88125
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.975,821.375
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.99,919.51125
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.01,15.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.025,18.625
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.05,26.5
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.1,33.25
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.15,37.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.2,40.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.25,42.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.3,45.375
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.35,48.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.4,50.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.45,51.875
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.5,55.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.55,58.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.6,62.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.65,66.625
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.7,71.125
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.75,75.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.8,80.125
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.85,87.25
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.9,96.75
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.95,115.25
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.975,133.375
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.99,161.50125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.01,105.375
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.025,148.746875
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.05,199.125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.1,243.875
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.15,276.48125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.2,294.125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.25,315.34375
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.3,332.3375
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.35,347.25
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.4,362.575
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.45,375.19375
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.5,398.1875
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.55,420.05625000000003
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.6,435.875
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.65,455.125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.7,475.5375
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.75,494.125
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.8,515.275
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.85,554.75
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.9,611.25
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.95,725.25625
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.975,822.2624999999999
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.99,954.8775
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.01,75.25
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.025,104.375
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.05,131.75
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.1,157.75
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.15,175.625
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.2,185.625
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.25,195.625
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.3,205.5
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.35,215.5
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.4,225.25
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.45,234.875
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.5,247.375
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.55,256.625
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.6,271.25
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.65,284.75
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.7,298.375
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.75,311.375
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.8,328.27500000000003
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.85,351.64375
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.9,381.75
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.95,434.26875
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.975,487.25624999999997
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.99,573.62875
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.01,468.75
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.025,667.125
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.05,843.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.1,1054.625
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.15,1163.85625
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.2,1241.975
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.25,1311.875
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.3,1362.25
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.35,1422.25
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.4,1471.25
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.45,1526.25
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.5,1587.75
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.55,1654.55625
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.6,1722.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.65,1808.125
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.7,1877.6625
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.75,1954.03125
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.8,2044.175
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.85,2195.14375
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.9,2356.775
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.95,2702.46875
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.975,3069.9781249999996
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.99,3559.7725
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.01,234.3725
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.025,314.996875
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.05,389.875
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.1,485.5
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.15,547.23125
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.2,574.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.25,603.25
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.3,625.5
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.35,647.25
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.4,667.5
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.45,685.31875
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.5,708.875
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.55,729.05625
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.6,759.375
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.65,803.125
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.7,846.5
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.75,873.78125
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.8,920.375
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.85,969.375
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.9,1022.6375
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.95,1145.25
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.975,1272.015625
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.99,1429.28125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.01,221.75
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.025,292.875
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.05,363.1125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.1,441.25
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.15,506.25
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.2,540.375
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.25,566.125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.3,591.0
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.35,610.375
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.4,640.5
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.45,662.625
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.5,684.875
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.55,709.875
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.6,732.125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.65,765.125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.7,805.25
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.75,841.03125
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.8,890.275
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.85,940.39375
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.9,1038.3875
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.95,1165.7625
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.975,1290.6375
2026-01-10,wk inc flu hosp,0,2026-01-10,09,quantile,0.99,1444.63625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.01,41.75
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.025,55.25
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.05,68.5
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.1,89.625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.15,101.0
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.2,109.625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.25,118.25
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.3,124.25
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.35,130.25
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.4,135.0
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.45,141.0
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.5,148.125
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.55,155.625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.6,165.54999999999998
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.65,176.75
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.7,187.0
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.75,202.90625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.8,220.875
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.85,239.25
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.9,264.5
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.95,300.75625
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.975,334.75
2026-01-10,wk inc flu hosp,0,2026-01-10,10,quantile,0.99,388.75
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.01,22.5
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.025,27.75
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.05,36.25
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.1,47.625
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.15,53.625
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.2,57.0
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.25,60.125
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.3,63.75
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.35,66.5
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.4,70.625
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.45,74.125
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.5,79.875
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.55,83.5
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.6,87.25
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.65,91.5
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.7,97.0
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.75,104.125
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.8,111.5
2026-01-10,wk inc flu hosp,0,2026-01-10,11,quantile,0.85,122.125
