"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","01","pmf","decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","01","pmf","increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","01","pmf","large_decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","01","pmf","large_increase",0.0601923076923077
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","01","pmf","stable",0.939807692307692
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","10","pmf","decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","10","pmf","increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","10","pmf","large_decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","10","pmf","large_increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","10","pmf","stable",1
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","11","pmf","decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","11","pmf","increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","11","pmf","large_decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","11","pmf","large_increase",0.00125
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","11","pmf","stable",0.99875
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","12","pmf","decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","12","pmf","increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","12","pmf","large_decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","12","pmf","large_increase",0.534038461538461
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","12","pmf","stable",0.465961538461538
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","13","pmf","decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","13","pmf","increase",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","13","pmf","large_decrease",0
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","13","pmf","large_increase",0.060576923076923
"2023-11-18",-1,"wk flu hosp rate change","2023-11-11","13","pmf","stable",0.939423076923077
