"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk flu hosp rate change",2024-02-03,"02","pmf","decrease",0
2024-02-10,-1,"wk flu hosp rate change",2024-02-03,"02","pmf","increase",0
2024-02-10,-1,"wk flu hosp rate change",2024-02-03,"02","pmf","large_decrease",0
2024-02-10,-1,"wk flu hosp rate change",2024-02-03,"02","pmf","large_increase",0.0306666666666667
2024-02-10,-1,"wk flu hosp rate change",2024-02-03,"02","pmf","stable",0.969333333333333
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","decrease",0
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","increase",0
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","large_decrease",0
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","large_increase",0.0215
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","stable",0.9785
2024-02-10,1,"wk flu hosp rate change",2024-02-17,"02","pmf","decrease",0
2024-02-10,1,"wk flu hosp rate change",2024-02-17,"02","pmf","increase",0
2024-02-10,1,"wk flu hosp rate change",2024-02-17,"02","pmf","large_decrease",0
2024-02-10,1,"wk flu hosp rate change",2024-02-17,"02","pmf","large_increase",0.0185
2024-02-10,1,"wk flu hosp rate change",2024-02-17,"02","pmf","stable",0.9815
2024-02-10,2,"wk flu hosp rate change",2024-02-24,"02","pmf","decrease",0
2024-02-10,2,"wk flu hosp rate change",2024-02-24,"02","pmf","increase",0
2024-02-10,2,"wk flu hosp rate change",2024-02-24,"02","pmf","large_decrease",0
2024-02-10,2,"wk flu hosp rate change",2024-02-24,"02","pmf","large_increase",0.0185
2024-02-10,2,"wk flu hosp rate change",2024-02-24,"02","pmf","stable",0.9815
2024-02-10,3,"wk flu hosp rate change",2024-03-02,"02","pmf","decrease",0
2024-02-10,3,"wk flu hosp rate change",2024-03-02,"02","pmf","increase",0
2024-02-10,3,"wk flu hosp rate change",2024-03-02,"02","pmf","large_decrease",0
2024-02-10,3,"wk flu hosp rate change",2024-03-02,"02","pmf","large_increase",0.0123333333333333
2024-02-10,3,"wk flu hosp rate change",2024-03-02,"02","pmf","stable",0.987666666666667
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.01",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.025",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.05",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.1",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.15",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.2",0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.25",0.1499705
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.3",1.119942
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.35",1.9683545
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.4",2.748854
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.45",3.5170375
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.5",4.1855
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.55",4.957236
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.6",5.733182
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.65",6.51310400000001
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.7",7.360704
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.75",8.266435
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.8",9.22846
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.85",10.433845
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.9",12.20742
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.95",14.40005
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.975",16.5759275
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"02","quantile","0.99",19.087277
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.01",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.025",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.05",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.1",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.15",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.2",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.25",0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.3",0.2493505
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.35",1.043072
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.4",1.858052
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.45",2.528258
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.5",3.33852
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.55",4.0113985
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.6",4.756958
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.65",5.6093585
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.7",6.42571
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.75",7.31167
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.8",8.317404
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.85",9.5206735
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.9",11.05725
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.95",13.482175
2024-02-10,0,"wk inc flu hosp",2024-02-10,"02","quantile","0.975",15.6126175
