reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-26,wk flu hosp rate change,-1,2025-04-19,06,pmf,decrease,0
2025-04-26,wk flu hosp rate change,-1,2025-04-19,06,pmf,increase,0
2025-04-26,wk flu hosp rate change,-1,2025-04-19,06,pmf,large_decrease,0.566
2025-04-26,wk flu hosp rate change,-1,2025-04-19,06,pmf,large_increase,0.417
2025-04-26,wk flu hosp rate change,-1,2025-04-19,06,pmf,stable,0.017
2025-04-26,wk flu hosp rate change,0,2025-04-26,06,pmf,decrease,0
2025-04-26,wk flu hosp rate change,0,2025-04-26,06,pmf,increase,0
2025-04-26,wk flu hosp rate change,0,2025-04-26,06,pmf,large_decrease,0.755
2025-04-26,wk flu hosp rate change,0,2025-04-26,06,pmf,large_increase,0.23
2025-04-26,wk flu hosp rate change,0,2025-04-26,06,pmf,stable,0.015
2025-04-26,wk flu hosp rate change,1,2025-05-03,06,pmf,decrease,0
2025-04-26,wk flu hosp rate change,1,2025-05-03,06,pmf,increase,0
2025-04-26,wk flu hosp rate change,1,2025-05-03,06,pmf,large_decrease,0.759
2025-04-26,wk flu hosp rate change,1,2025-05-03,06,pmf,large_increase,0.224
2025-04-26,wk flu hosp rate change,1,2025-05-03,06,pmf,stable,0.017
2025-04-26,wk flu hosp rate change,2,2025-05-10,06,pmf,decrease,0
2025-04-26,wk flu hosp rate change,2,2025-05-10,06,pmf,increase,0
2025-04-26,wk flu hosp rate change,2,2025-05-10,06,pmf,large_decrease,0.772
2025-04-26,wk flu hosp rate change,2,2025-05-10,06,pmf,large_increase,0.216
2025-04-26,wk flu hosp rate change,2,2025-05-10,06,pmf,stable,0.012
2025-04-26,wk flu hosp rate change,3,2025-05-17,06,pmf,decrease,0
2025-04-26,wk flu hosp rate change,3,2025-05-17,06,pmf,increase,0
2025-04-26,wk flu hosp rate change,3,2025-05-17,06,pmf,large_decrease,0.782
2025-04-26,wk flu hosp rate change,3,2025-05-17,06,pmf,large_increase,0.213
2025-04-26,wk flu hosp rate change,3,2025-05-17,06,pmf,stable,0.005
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.01,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.025,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.05,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.1,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.15,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.2,0
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.25,26.18953301
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.3,95.63955481
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.35,159.1517458
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.4,216.6623337
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.45,273.2179644
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.5,332.0234717
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.55,380.9680539
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.6,439.5154383
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.65,500.0960813
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.7,562.6767059
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.75,648.9464295
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.8,718.8930219
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.85,826.7040475
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.9,934.5444493
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.95,1085.520304
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.975,1212.818161
2025-04-26,wk inc flu hosp,-1,2025-04-19,06,quantile,0.99,1378.010368
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.01,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.025,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.05,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.1,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.15,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.2,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.25,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.3,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.35,0
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.4,50.2602019
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.45,102.2658507
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.5,146.9500507
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.55,185.0927767
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.6,239.6377616
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.65,288.4005629
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.7,338.3504208
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.75,390.952216
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.8,466.0248205
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.85,574.7511386
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.9,694.5103506
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.95,901.1707148
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.975,1182.629329
2025-04-26,wk inc flu hosp,0,2025-04-26,06,quantile,0.99,1480.831291
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.01,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.025,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.05,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.1,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.15,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.2,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.25,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.3,0
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.35,31.62023309
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.4,65.28476409
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.45,106.5749267
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.5,140.8062675
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.55,176.4015855
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.6,236.0992161
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.65,277.0771019
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.7,327.9517601
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.75,380.4682357
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.8,451.027157
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.85,566.7242526
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.9,686.875716
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.95,947.2843742
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.975,1427.402444
2025-04-26,wk inc flu hosp,1,2025-05-03,06,quantile,0.99,2036.385459
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.01,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.025,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.05,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.1,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.15,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.2,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.25,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.3,0
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.35,2.569571701
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.4,37.10213779
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.45,74.59027099
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.5,102.9952741
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.55,140.2671893
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.6,182.7041515
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.65,229.7412238
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.7,282.0686073
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.75,347.1204654
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.8,450.7552348
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.85,556.5328768
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.9,718.8243388
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.95,1039.515749
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.975,1693.091737
2025-04-26,wk inc flu hosp,2,2025-05-10,06,quantile,0.99,2296.09465
2025-04-26,wk inc flu hosp,3,2025-05-17,06,quantile,0.01,0
2025-04-26,wk inc flu hosp,3,2025-05-17,06,quantile,0.025,0
2025-04-26,wk inc flu hosp,3,2025-05-17,06,quantile,0.05,0
2025-04-26,wk inc flu hosp,3,2025-05-17,06,quantile,0.1,0
