reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.01,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.025,0.413333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.05,3.7733333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.1,7.133333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.15,9.053333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.2,10.973333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.25,12.413333333333336
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.3,14.653333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.35,16.57333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.4,18.493333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.45,20.893333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.5,22.333333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.55,24.73333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.6,26.653333333333336
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.65,29.053333333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.7,30.97333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.75,33.013333333333385
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.8,36.25333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.85,39.13333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.9,42.49333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.95,48.733333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.975,53.53333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,01,quantile,0.99,59.29333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.01,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.025,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.05,0.1466666666666674
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.1,1.1066666666666665
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.15,1.826666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.2,2.306666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.25,2.786666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.3,3.746666666666666
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.35,3.746666666666666
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.4,4.226666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.45,4.706666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.5,5.666666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.55,5.666666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.6,6.1466666666666665
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.65,6.626666666666665
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.7,7.106666666666667
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.75,8.066666666666666
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.8,8.546666666666669
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.85,9.506666666666668
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.9,9.986666666666668
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.95,11.906666666666666
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.975,12.866666666666665
2025-05-31,wk inc flu hosp,0,2025-05-31,02,quantile,0.99,15.266666666666666
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.01,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.025,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.05,3.3800000000000026
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.1,10.579999999999998
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.15,14.900000000000002
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.2,18.5
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.25,22.1
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.3,25.700000000000003
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.35,27.86
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.4,30.740000000000002
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.45,33.620000000000005
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.5,36.5
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.55,39.379999999999995
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.6,42.26
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.65,45.14
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.7,48.019999999999996
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.75,51.61999999999999
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.8,55.94
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.85,59.540000000000006
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.9,66.02
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.95,74.66
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.975,81.86000000000001
2025-05-31,wk inc flu hosp,0,2025-05-31,04,quantile,0.99,91.22
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.01,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.025,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.05,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.1,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.15,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.2,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.25,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.3,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.35,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.4,0.41333333333333355
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.45,1.373333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.5,2.3333333333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.55,2.8133333333333326
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.6,3.7733333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.65,4.253333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.7,5.213333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.75,5.693333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.8,7.133333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.85,8.573333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.9,10.493333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.95,14.333333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.975,17.21333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,05,quantile,0.99,21.062933333333323
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.01,11.774133333333367
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.025,41.54133333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.05,66.89733333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.1,100.11333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.15,121.71333333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.2,138.41733333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.25,151.95333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.3,163.47333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.35,175.95333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.4,186.51333333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.45,197.81733333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.5,208.83333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.55,220.11333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.6,230.86533333333338
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.65,241.08933333333346
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.7,253.85733333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.75,267.1533333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.8,282.0333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.85,299.8653333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.9,319.5693333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.95,350.67333333333335
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.975,377.55333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,06,quantile,0.99,409.7181333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.01,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.025,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.05,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.1,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.15,0.0
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.2,0.17333333333333378
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.25,2.093333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.3,4.013333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.35,4.9733333333333345
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.4,6.413333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.45,7.373333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.5,8.333333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.55,9.293333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.6,11.693333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.65,14.093333333333334
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.7,15.533333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.75,17.93333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.8,20.333333333333332
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.85,23.69333333333333
2025-05-31,wk inc flu hosp,0,2025-05-31,08,quantile,0.9,26.621333333333403
