location,target,reference_date,target_end_date,horizon,output_type,output_type_id,value
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.01,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.025,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.05,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.1,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.15,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.2,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.25,0
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.3,1
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.35,4
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.4,7
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.45,10
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.5,13
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.55,16
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.6,19
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.65,23
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.7,26
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.75,30
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.8,33
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.85,38
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.9,45
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.95,54
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.975,63
01,wk inc flu hosp,2026-05-30,2026-05-30,0,quantile,0.99,70
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.01,0
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.025,0
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.05,0
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.1,0
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.15,0
01,wk inc flu hosp,2026-05-30,2026-06-06,1,quantile,0.2,0
