reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.01,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.01,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.01,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.01,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.025,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.025,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.025,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.025,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.05,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.05,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.05,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.05,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.1,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.1,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.1,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.1,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.15,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.15,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.15,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.15,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.2,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.2,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.2,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.2,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.25,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.25,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.25,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.25,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.3,0
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.3,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.3,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.3,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.35,4.4503215672775484e-4
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.35,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.35,0
2025-11-08,wk inc flu prop ed visits,3,2025-11-29,01,quantile,0.35,0
2025-11-08,wk inc flu prop ed visits,0,2025-11-08,01,quantile,0.4,0.003050387797106043
2025-11-08,wk inc flu prop ed visits,1,2025-11-15,01,quantile,0.4,0
2025-11-08,wk inc flu prop ed visits,2,2025-11-22,01,quantile,0.4,0
