"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.01",0
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.025",0
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.05",1.23391215165176
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.1",1.23391215165176
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.15",1.75480564012989
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.2",1.75480564012989
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.25",1.75480564012989
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.3",1.75480564012989
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.35",2.23390938423914
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.4",2.23390938423914
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.45",2.23390938423914
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.5",3.23387033198841
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.55",3.23387033198841
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.6",3.23387033198841
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.65",5.21879906228348
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.7",5.21879906228348
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.75",5.21879906228348
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.8",6.37043049569055
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.85",6.37043049569055
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.9",7.02401048393196
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.95",8.00201615641788
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.975",8.41208071283319
2023-12-02,"11",0,"wk inc flu hosp",2023-12-02,"quantile","0.99",11.2740773409904
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.01",0
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.025",0
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.05",1.23391215165176
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.1",1.23391215165176
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.15",1.75480564012989
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.2",1.75480564012989
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.25",1.75497992343212
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.3",1.75497992343212
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.35",1.75497992343212
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.4",1.75497992343212
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.45",2.6668968444488
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.5",2.6668968444488
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.55",2.6668968444488
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.6",3.01329252084145
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.65",3.01329252084145
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.7",3.30656955480544
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.75",3.30656955480544
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.8",3.30656955480544
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.85",3.30676613991648
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.9",3.96034612815789
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.95",4.93835180064381
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.975",5.75848091347444
2023-12-02,"11",1,"wk inc flu hosp",2023-12-09,"quantile","0.99",7.18947922755302
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.01",0
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.025",0.686424868384301
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.05",0.686424868384301
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.1",0.696827108183559
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.15",0.696827108183559
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.2",0.696827108183559
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.25",0.697001391485791
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.3",0.697001391485791
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.35",1.17610513559504
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.4",1.17610513559504
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.45",1.17610513559504
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.5",2.17606608334431
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.55",2.17606608334431
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.6",2.17606608334431
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.65",4.16099481363939
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.7",4.16099481363939
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.75",4.16101323825696
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.8",4.16101323825696
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.85",4.161209823368
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.9",4.81478981160942
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.95",6.77080115658125
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.975",7.18086571299657
2023-12-02,"11",2,"wk inc flu hosp",2023-12-16,"quantile","0.99",10.0428623411537
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.01",0
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.025",0.686424868384301
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.05",0.686424868384301
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.1",0.696827108183559
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.15",0.696827108183559
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.2",1.7822017357983
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.25",1.7822017357983
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.3",1.84460348058235
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.35",1.84460348058235
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.4",1.84460348058235
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.45",2.75652040159903
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.5",2.75652040159903
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.55",3.75647179471624
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.6",3.75647179471624
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.65",3.75647179471624
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.7",4.04974882868023
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.75",4.0497672532978
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.8",4.0497672532978
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.85",4.04996383840884
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.9",4.70354382665025
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.95",6.65955517162209
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.975",7.47968428445272
2023-12-02,"11",3,"wk inc flu hosp",2023-12-23,"quantile","0.99",10.3416809126099
2023-12-02,"11",0,"wk flu hosp rate change",2023-12-02,"pmf","stable",0.9795
2023-12-02,"11",0,"wk flu hosp rate change",2023-12-02,"pmf","increase",0.0147
2023-12-02,"11",0,"wk flu hosp rate change",2023-12-02,"pmf","large_increase",0
2023-12-02,"11",0,"wk flu hosp rate change",2023-12-02,"pmf","decrease",0.0058
2023-12-02,"11",0,"wk flu hosp rate change",2023-12-02,"pmf","large_decrease",0
2023-12-02,"11",1,"wk flu hosp rate change",2023-12-09,"pmf","stable",0.9717
2023-12-02,"11",1,"wk flu hosp rate change",2023-12-09,"pmf","increase",0.0236
2023-12-02,"11",1,"wk flu hosp rate change",2023-12-09,"pmf","large_increase",0
2023-12-02,"11",1,"wk flu hosp rate change",2023-12-09,"pmf","decrease",0.0047
2023-12-02,"11",1,"wk flu hosp rate change",2023-12-09,"pmf","large_decrease",0
2023-12-02,"11",2,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.9571
2023-12-02,"11",2,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.0405
2023-12-02,"11",2,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0
2023-12-02,"11",2,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.0024
2023-12-02,"11",2,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0
2023-12-02,"11",3,"wk flu hosp rate change",2023-12-23,"pmf","stable",0.9304
2023-12-02,"11",3,"wk flu hosp rate change",2023-12-23,"pmf","increase",0.067
2023-12-02,"11",3,"wk flu hosp rate change",2023-12-23,"pmf","large_increase",0
2023-12-02,"11",3,"wk flu hosp rate change",2023-12-23,"pmf","decrease",0.0026
2023-12-02,"11",3,"wk flu hosp rate change",2023-12-23,"pmf","large_decrease",0
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.01",133.284777031937
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.025",133.761456329456
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.05",133.766689904318
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.1",136.698887104754
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.15",146.770349285878
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.2",153.249633022319
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.25",163.651951511793
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.3",167.353535292514
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.35",168.998062999319
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.4",174.13212324251
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.45",174.187626470267
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.5",176.236577963329
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.55",178.85842224797
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.6",180.097108727465
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.65",180.130883011387
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.7",190.263254143877
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.75",191.965771769729
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.8",207.880103497413
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.85",208.06956765583
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.9",209.105223307913
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.95",231.191572257141
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.975",231.345091675505
2023-12-02,"72",0,"wk inc flu hosp",2023-12-02,"quantile","0.99",292.336541190182
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.01",146.51872652447
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.025",146.995405821989
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.05",147.001511659328
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.1",149.933708859764
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.15",165.040902131449
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.2",171.520185867891
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.25",179.321924734996
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.3",184.257369775957
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.35",186.724161336164
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.4",191.858221579356
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.45",191.913724807112
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.5",193.962676300174
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.55",197.895442727136
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.6",199.134129206631
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.65",199.167903490553
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.7",209.300274623043
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.75",211.570298124179
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.8",227.484629851863
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.85",227.721460049884
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.9",228.757115701968
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.95",256.365051888502
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.975",256.518571306866
2023-12-02,"72",1,"wk inc flu hosp",2023-12-09,"quantile","0.99",317.510020821544
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.01",160.697958123612
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.025",161.242734463634
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.05",161.248840300972
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.1",164.599922815757
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.15",179.707116087442
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.2",187.806220757994
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.25",198.208539247468
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.3",201.910123028189
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.35",205.199178441798
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.4",210.33323868499
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.45",210.388741912746
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.5",212.437693405808
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.55",217.681381975091
2023-12-02,"72",2,"wk inc flu hosp",2023-12-16,"quantile","0.6",218.920068454586
