reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.01,181.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.025,190.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.05,196.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.1,204.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.15,210.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.2,215.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.25,218.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.3,222.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.35,225.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.4,228.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.45,232.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.5,235.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.55,238.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.6,241.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.65,244.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.7,248.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.75,252.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.8,256.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.85,261.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.9,268.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.95,278.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.975,287.0
2025-12-27,wk inc flu hosp,0,2025-12-27,01,quantile,0.99,298.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.01,172.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.025,182.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.05,192.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.1,203.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.15,211.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.2,218.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.25,223.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.3,228.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.35,233.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.4,238.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.45,243.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.5,247.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.55,252.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.6,256.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.65,261.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.7,267.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.75,272.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.8,279.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.85,286.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.9,296.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.95,311.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.975,324.0
2025-12-27,wk inc flu hosp,1,2026-01-03,01,quantile,0.99,338.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.01,134.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.025,147.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.05,158.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.1,171.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.15,181.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.2,188.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.25,196.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.3,202.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.35,208.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.4,214.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.45,220.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.5,226.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.55,233.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.6,239.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.65,246.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.7,253.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.75,260.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.8,269.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.85,280.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.9,294.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.95,316.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.975,334.0
2025-12-27,wk inc flu hosp,2,2026-01-10,01,quantile,0.99,353.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.01,94.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.025,106.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.05,116.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.1,129.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.15,139.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.2,146.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.25,153.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.3,159.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.35,166.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.4,172.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.45,178.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.5,185.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.55,192.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.6,199.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.65,206.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.7,214.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.75,223.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.8,233.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.85,246.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.9,265.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.95,292.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.975,310.0
2025-12-27,wk inc flu hosp,3,2026-01-17,01,quantile,0.99,333.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.01,22.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.025,25.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.05,28.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.1,31.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.15,34.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.2,36.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.25,38.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.3,40.0
2025-12-27,wk inc flu hosp,0,2025-12-27,02,quantile,0.35,41.0
