reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.01,32342.36653
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.01,27402.0851
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.01,22324.61316
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.01,17764.82237
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.01,13985.87836
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.025,34922.31926
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.025,29811.21092
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.025,24277.37754
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.025,19210.91693
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.025,15045.15191
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.05,36657.67397
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.05,32252.47107
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.05,26212.34628
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.05,20702.65039
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.05,16082.7725
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.1,40244.11082
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.1,34432.39175
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.1,27833.26339
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.1,21948.08841
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.1,17139.32689
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.15,42228.6605
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.15,36661.19091
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.15,29670.82404
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.15,23343.68802
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.15,18142.78921
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.2,43478.15141
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.2,37283.27259
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.2,30458.50396
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.2,23995.40215
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.2,18470.35132
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.25,44252.2094
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.25,38155.90384
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.25,31038.41901
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.25,24387.70898
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.25,18837.815
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.3,45004.96089
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.3,38868.27107
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.3,31522.95977
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.3,24901.40178
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.3,19279.50412
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.35,45646.11207
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.35,39498.42646
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.35,32259.58001
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.35,25390.18086
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.35,19623.0805
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.4,46443.42577
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.4,40520.27581
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.4,33249.245
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.4,26274.21676
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.4,20306.7525
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.45,47282.34635
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.45,41427.61211
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.45,33920.01151
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.45,26810.86847
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.45,20765.20314
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.5,47717.25128
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.5,41853.50094
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.5,34455.63924
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.5,27261.52846
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.5,21138.30404
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.55,48126.39914
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.55,42329.46553
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.55,34881.40431
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.55,27636.97118
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.55,21445.26517
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.6,48477.34913
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.6,42909.15853
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.6,35318.26805
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.6,28063.86673
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.6,21892.36074
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.65,48787.63415
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.65,43503.1567
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.65,36008.41715
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.65,28659.61107
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.65,22310.63924
2025-02-22,wk inc flu hosp,-1,2025-02-15,US,quantile,0.7,49147.11807
2025-02-22,wk inc flu hosp,0,2025-02-22,US,quantile,0.7,43889.036
2025-02-22,wk inc flu hosp,1,2025-03-01,US,quantile,0.7,36569.02432
2025-02-22,wk inc flu hosp,2,2025-03-08,US,quantile,0.7,29182.07827
2025-02-22,wk inc flu hosp,3,2025-03-15,US,quantile,0.7,22779.72519
