reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.01,38.48687159508344
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.025,48.887630403619355
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.05,58.45809953470902
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.1,70.65156240738814
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.15,78.19457885201767
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.2,85.69494150830941
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.25,91.82887026445026
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.3,97.99720562530756
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.35,104.06559450524446
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.4,109.85800156445023
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.45,115.64343334030892
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.5,121.77101502986267
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.55,128.73128858901885
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.6,135.525199797762
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.65,143.44662988736178
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.7,153.14816878907948
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.75,164.70572823838697
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.8,178.91860413368514
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.85,197.84549076506048
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.9,224.12948755120766
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.95,271.87634993128154
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.975,323.3511776969851
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.99,380.1756424042507
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.01,0.3107076995826671
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.025,0.9006221574264138
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.05,1.6222064618699548
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.1,2.772055574173193
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.15,3.724671698253998
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.2,4.581133254079066
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.25,5.367337750433942
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.3,6.082171608711738
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.35,6.772672215124177
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.4,7.443361478869634
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.45,8.235400307074329
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.5,9.100029654105581
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.55,10.02340100794727
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.6,11.0470747214171
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.65,12.171817950409533
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.7,13.61827084745604
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.75,15.45710617112572
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.8,17.314452269694907
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.85,19.97667529041391
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.9,23.422587937108098
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.95,29.25991832426401
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.975,34.94861175818573
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.99,41.55469614995607
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.01,69.60333605249228
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.025,85.28430263095237
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.05,101.96395237196731
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.1,123.49372781912757
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.15,138.72495559201002
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.2,149.46598883461004
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.25,161.30408049195816
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.3,172.4907039540975
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.35,182.33931286333592
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.4,192.4433957334166
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.45,202.03299150381372
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.5,209.65510153882838
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.55,220.5715760056215
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.6,230.64419865982796
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.65,243.60871181486704
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.7,259.2895398074851
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.75,278.2629371692541
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.8,301.7583766615293
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.85,329.79896461323636
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.9,368.3434153049779
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.95,437.6322461331672
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.975,512.6716963124106
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.99,605.0693007044996
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.01,27.358967400057093
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.025,36.19171644608626
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.05,44.17444513417798
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.1,52.97684191192071
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.15,60.93686946890683
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.2,67.17948011779382
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.25,72.27614742950024
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.3,77.92563331100669
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.35,82.84969886215801
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.4,87.77993973840927
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.45,92.66879138488622
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.5,98.27075683635553
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.55,103.97444075364852
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.6,109.69634346890928
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.65,115.3995044928737
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.7,122.37989881826154
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.75,131.36758858168358
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.8,141.69701281429099
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.85,155.15100902066064
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.9,177.30421043371268
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.95,224.2577399971853
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.975,274.4474975944933
2026-03-14,wk inc flu hosp,0,2026-03-14,05,quantile,0.99,337.6629678409675
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.01,308.23576718859266
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.025,351.5918304710018
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.05,401.7754924268475
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.1,462.06712630580313
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.15,525.8475002990662
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.2,570.9334091279198
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.25,605.7057511687389
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.3,640.3865926233053
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.35,667.9201539346658
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.4,700.8747432581343
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.45,732.2955899406661
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.5,762.924044980166
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.55,792.8496003145573
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.6,820.8699689486974
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.65,853.2036928637724
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.7,888.3165698002102
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.75,930.3133118322828
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.8,988.8444983110784
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.85,1061.562168863185
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.9,1174.5956663869003
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.95,1397.3438958177746
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.975,1614.1281626835248
2026-03-14,wk inc flu hosp,0,2026-03-14,06,quantile,0.99,1973.5025629835704
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.01,27.01470841789557
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.025,34.21763691780489
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.05,42.59435741749106
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.1,53.2746234057793
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.15,60.25231678642197
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.2,66.52168885937905
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.25,71.40337841248923
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.3,76.34207463877968
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.35,81.91435545643816
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.4,87.45250671315301
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.45,93.02426629774719
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.5,99.01293208821367
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.55,105.82221723583577
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.6,112.52844950968229
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.65,120.13012120162227
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.7,128.2700416891629
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.75,137.88000058835854
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.8,149.86785850225337
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.85,163.76177696792328
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.9,184.06784449070702
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.95,214.1559985566232
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.975,246.76458278257073
2026-03-14,wk inc flu hosp,0,2026-03-14,08,quantile,0.99,301.0912076042164
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.01,3.9739486293616717
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.025,7.2076444473721315
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.05,12.29175932785679
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.1,16.53794050028188
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.15,19.942722342189906
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.2,23.051836542878906
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.25,25.732678995882203
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.3,29.102674519971245
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.35,32.33923658353037
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.4,35.12539767355905
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.45,38.07800065364931
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.5,41.32070953394332
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.55,44.26577638818911
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.6,47.64816089384723
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.65,51.673616193941335
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.7,56.120715293644004
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.75,61.63806492932917
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.8,68.40649354132906
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.85,76.84682872723874
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.9,88.32885523021905
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.95,107.60041478672767
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.975,123.60611916913933
2026-03-14,wk inc flu hosp,0,2026-03-14,09,quantile,0.99,139.40958168767986
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.01,4.6390894657889135
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.025,6.688891684447267
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.05,9.244799615074943
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.1,12.635887696117061
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.15,15.298460397369698
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.2,17.608859700296065
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.25,19.75523998220827
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.3,21.520772409023895
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.35,23.263130053679912
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.4,25.016611915980366
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.45,27.203881327903733
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.5,29.573045836441615
2026-03-14,wk inc flu hosp,0,2026-03-14,10,quantile,0.55,31.89664375856443
