reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.01,5.169741169421285
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.025,6.4893864966137835
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.05,7.859077758480425
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.1,9.80408619183064
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.15,11.343827345034391
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.2,12.730511025357737
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.25,14.063910234885997
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.3,15.388093621843359
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.35,16.72085447861093
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.4,17.999975702513318
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.45,19.323356227001767
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.5,20.59595772219429
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.55,22.16049958313718
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.6,24.065863479935597
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.65,25.75477218914371
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.7,27.53326900249757
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.75,30.32700916591345
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.8,33.46657966857017
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.85,36.948474455724714
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.9,42.57265802062455
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.95,49.14021301930129
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.975,57.150738555403116
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.99,73.23737726545569
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.01,0.61264534022185
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.025,1.0479422247258876
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.05,1.622698853675637
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.1,2.4709811153931303
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.15,3.1553103874928166
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.2,3.7970081207830475
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.25,4.399064182279472
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.3,4.974777942916587
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.35,5.499507985275079
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.4,6.051277484011881
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.45,6.61697031502207
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.5,7.24270588718851
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.55,7.897439581329895
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.6,8.56807328772644
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.65,9.375150191716406
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.7,10.171468292472753
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.75,11.398635740618937
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.8,12.604046356086041
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.85,14.697169385399864
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.9,18.439923051685398
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.95,23.07863418792072
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.975,30.00974389019135
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.99,42.217532299109514
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.01,32.53554661246858
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.025,39.66177491484234
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.05,46.27515046369742
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.1,56.58280854563243
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.15,63.98187063739013
2026-04-04,wk inc flu hosp,0,2026-04-04,04,quantile,0.2,70.42509526301963
