reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.01,57.025
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.025,58.837
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.05,60.424
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.1,63.085
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.15,64.676
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.2,66.217
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.25,67.396
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.3,68.401
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.35,69.42
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.4,70.537
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.45,71.471
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.5,72.144
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.55,73.165
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.6,74.243
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.65,75.349
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.7,76.27
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.75,77.204
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.8,78.196
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.85,79.907
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.9,81.216
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.95,83.139
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.975,84.823
2023-12-02,wk inc flu hosp,-1,2023-11-25,01,quantile,0.99,86.417
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.01,45.057
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.025,49.085
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.05,53.566
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.1,58.37
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.15,61.384
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.2,64.343
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.25,66.905
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.3,69.473
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.35,71.307
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.4,73.727
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.45,75.724
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.5,77.924
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.55,80.019
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.6,81.972
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.65,84.291
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.7,86.22
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.75,88.638
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.8,90.919
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.85,93.817
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.9,97.589
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.95,102.921
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.975,107.395
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.99,112.405
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.01,48.094
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.025,54.209
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.05,59.379
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.1,65.427
