reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.01,11.580233573913574
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.025,13.4089994430542
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.05,15.161019325256348
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.1,17.414216995239258
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.15,19.051240921020508
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.2,20.405372619628903
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.25,21.59488296508789
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.3,22.7011661529541
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.35,23.804628372192383
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.4,24.803955078125
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.45,25.71903419494629
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.5,26.77225112915039
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.55,27.833118438720703
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.6,28.93818473815918
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.65,30.05099868774414
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.7,31.243497848510746
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.75,32.70099639892578
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.8,34.21784973144531
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.85,36.08287811279297
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.9,38.716026306152344
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.95,42.77210235595703
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.975,46.445091247558594
2026-05-30,wk inc flu hosp,0,2026-05-30,01,quantile,0.99,51.5160026550293
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.01,11.441680908203123
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.025,13.249999046325684
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.05,15.10367488861084
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.1,17.33004379272461
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.15,18.868000030517575
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.2,20.298999786376953
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.25,21.544479370117188
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.3,22.628658294677734
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.35,23.601715087890625
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.4,24.618755340576172
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.45,25.635406494140625
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.5,26.60599899291992
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.55,27.533496856689453
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.6,28.59349822998047
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.65,29.73299789428711
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.7,30.925498962402344
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.75,32.2504997253418
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.8,33.7609977722168
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.85,35.64471435546875
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.9,38.13349914550781
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.95,41.619422912597656
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.975,45.31634521484375
2026-05-30,wk inc flu hosp,1,2026-06-06,01,quantile,0.99,50.16514205932617
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.01,11.584365844726562
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.025,13.43549919128418
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.05,15.227252960205078
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.1,17.51650047302246
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.15,19.10649871826172
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.2,20.431499481201172
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.25,21.54450035095215
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.3,22.69379425048828
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.35,23.717498779296875
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.4,24.694561004638672
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.45,25.659011840820312
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.5,26.65899658203125
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.55,27.616289138793945
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.6,28.61999893188477
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.65,29.73299789428711
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.7,31.0049991607666
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.75,32.46262741088867
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.8,33.99992752075195
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.85,35.88099670410156
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.9,38.50840759277344
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.95,41.97599792480469
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.975,46.004669189453125
2026-05-30,wk inc flu hosp,2,2026-06-13,01,quantile,0.99,50.562255859375
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.01,11.818999290466309
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.025,13.488499641418455
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.05,15.237499237060549
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.1,17.410499572753906
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.15,18.92099952697754
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.2,20.272499084472656
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.25,21.435443878173828
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.3,22.445499420166016
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.35,23.5054988861084
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.4,24.538999557495117
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.45,25.553163528442383
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.5,26.58411407470703
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.55,27.612998962402344
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.6,28.69949722290039
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.65,29.834543228149418
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.7,31.111000061035156
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.75,32.35660934448242
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.8,33.94649887084961
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.85,35.695499420166016
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.9,38.000999450683594
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.95,41.95001602172851
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.975,45.528343200683594
2026-05-30,wk inc flu hosp,3,2026-06-20,01,quantile,0.99,49.926025390625
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.01,0.0
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.025,0.0
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.05,0.2808999717235565
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.1,0.5034999847412109
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.15,0.6094999313354492
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.2,0.8747119903564453
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.25,1.006999969482422
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.3,1.0864999294281006
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.35,1.2189998626708984
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.4,1.3515000343322754
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.45,1.4839999675750732
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.5,1.5943725109100342
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.55,1.7359356880187988
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.6,1.8689900636672976
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.65,2.0273823738098145
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.7,2.1994998455047607
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.75,2.3669798374176025
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.8,2.570499897003174
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.85,2.8354997634887695
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.9,3.170989990234375
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.95,3.7099997997283936
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.975,4.239999771118164
2026-05-30,wk inc flu hosp,0,2026-05-30,02,quantile,0.99,4.780342102050781
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.01,0.0
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.025,0.0
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.05,0.0
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.1,0.476999968290329
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.15,0.5830000042915344
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.2,0.8479999899864197
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.25,0.9539999961853028
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.3,1.059999942779541
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.35,1.1394999027252195
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.4,1.2719999551773071
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.45,1.430999994277954
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.5,1.5369999408721924
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.55,1.6694998741149902
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.6,1.775499939918518
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.65,1.9344998598098757
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.7,2.0934998989105225
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.75,2.2689828872680664
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.8,2.4644999504089355
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.85,2.7029998302459717
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.9,3.047499656677246
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.95,3.524499893188477
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.975,4.027999401092529
2026-05-30,wk inc flu hosp,1,2026-06-06,02,quantile,0.99,4.610999584197998
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.01,0.0
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.025,0.0
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.05,0.0
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.1,0.476999968290329
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.15,0.5564999580383301
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.2,0.6359999775886536
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.25,0.9274999499320984
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.3,1.006999969482422
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.35,1.0864999294281006
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.4,1.2189998626708984
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.45,1.3515000343322754
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.5,1.4839999675750732
2026-05-30,wk inc flu hosp,2,2026-06-13,02,quantile,0.55,1.616499900817871
