reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.01,300.0
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.025,300.0
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.05,300.0
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.1,379.4369883266267
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.15,831.7029198716417
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.2,1279.6296043592824
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.25,1625.0527785482739
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.3,1927.478302522979
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.35,2233.8771229346194
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.4,2544.6845768816356
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.45,2855.4920359148387
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.5,3148.3014311947636
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.55,3437.3429833623995
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.6,3727.687907161975
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.65,4022.918321036779
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.7,4337.837355885004
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.75,4714.054603438093
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.8,5337.762162791663
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.85,6561.714647868121
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.9,8713.234100073172
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.95,14352.07271664539
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.975,25016.39868645917
2025-04-12,wk inc flu hosp,0,2025-04-12,US,quantile,0.99,35000.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.01,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.025,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.05,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.1,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.15,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.2,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.25,300.0
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.3,305.39951942648696
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.35,360.80688458845646
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.4,425.65012013907153
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.45,496.84074111413076
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.5,575.879453472627
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.55,667.2890715466884
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.6,775.2020415394417
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.65,901.6167545698189
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.7,1057.3924297266515
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.75,1265.1243828640233
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.8,1527.0118780093821
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.85,1877.4943374819672
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.9,2454.292059751877
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.95,4622.4105938281955
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.975,10659.226049760422
2025-04-12,wk inc flu hosp,2,2025-04-26,US,quantile,0.99,22212.593765028498
