reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.01,6
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.025,13
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.05,41
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.1,63
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.15,76
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.2,84
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.25,92
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.3,97
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.35,103
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.4,108
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.45,114
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.5,120
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.55,127
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.6,135
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.65,144
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.7,154
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.75,166
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.8,180
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.85,198
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.9,222
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.95,265
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.975,311
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.99,380
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.01,3
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.025,8
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.05,27
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.1,44
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.15,54
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.2,63
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.25,69
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.3,75
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.35,80
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.4,86
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.45,91
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.5,98
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.55,104
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.6,112
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.65,122
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.7,133
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.75,146
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.8,161
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.85,181
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.9,209
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.95,256
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.975,307
2026-03-14,wk inc flu hosp,1,2026-03-21,01,quantile,0.99,381
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.01,0
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.025,3
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.05,15
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.1,31
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.15,40
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.2,47
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.25,53
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.3,58
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.35,64
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.4,69
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.45,75
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.5,82
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.55,89
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.6,98
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.65,107
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.7,119
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.75,132
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.8,149
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.85,170
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.9,200
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.95,254
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.975,312
2026-03-14,wk inc flu hosp,2,2026-03-28,01,quantile,0.99,397
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.01,0
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.025,0
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.05,9
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.1,20
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.15,27
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.2,34
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.25,39
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.3,45
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.35,50
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.4,55
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.45,61
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.5,67
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.55,74
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.6,83
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.65,93
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.7,105
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.75,119
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.8,136
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.85,159
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.9,192
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.95,252
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.975,317
2026-03-14,wk inc flu hosp,3,2026-04-04,01,quantile,0.99,409
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.01,0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.025,0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.05,1
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.1,2
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.15,3
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.2,4
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.25,4
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.3,5
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.35,6
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.4,6
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.45,7
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.5,8
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.55,9
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.6,9
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.65,10
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.7,12
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.75,13
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.8,15
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.85,17
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.9,20
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.95,25
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.975,30
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.99,39
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.01,0
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.025,0
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.05,1
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.1,2
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.15,2
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.2,3
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.25,4
2026-03-14,wk inc flu hosp,1,2026-03-21,02,quantile,0.3,5
