reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.01,27
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.025,33
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.05,38
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.1,46
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.15,51
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.2,56
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.25,61
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.3,69
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.35,79
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.4,95
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.45,112
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.5,131
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.55,148
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.6,178
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.65,211
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.7,254
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.75,313
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.8,406
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.85,516
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.9,721
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.95,1142
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.975,1482
2025-11-22,peak inc flu hosp,NA,NA,01,quantile,0.99,1867
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.01,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.025,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.05,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.1,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.15,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.2,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.25,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.3,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.35,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.4,2
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.45,3
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.5,3
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.55,3
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.6,3
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.65,3
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.7,4
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.75,4
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.8,4
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.85,5
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.9,5
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.95,8
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.975,12
2025-11-22,peak inc flu hosp,NA,NA,02,quantile,0.99,20
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.01,15
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.025,18
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.05,20
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.1,24
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.15,26
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.2,29
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.25,32
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.3,34
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.35,36
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.4,40
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.45,43
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.5,48
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.55,54
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.6,64
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.65,75
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.7,89
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.75,109
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.8,133
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.85,169
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.9,259
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.95,587
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.975,1277
2025-11-22,peak inc flu hosp,NA,NA,04,quantile,0.99,2472
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.01,12
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.025,14
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.05,16
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.1,20
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.15,23
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.2,27
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.25,31
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.3,36
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.35,42
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.4,48
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.45,54
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.5,61
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.55,72
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.6,84
2025-11-22,peak inc flu hosp,NA,NA,05,quantile,0.65,100
