reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.01,22.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.025,24.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.05,26.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.1,31.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.15,33.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.2,34.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.25,37.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.3,38.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.35,40.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.4,42.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.45,43.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.5,45.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.55,47.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.6,48.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.65,50.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.7,51.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.75,53.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.8,54.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.85,57.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.9,60.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.95,65.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.975,70.0
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.99,78.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.01,19.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.025,20.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.05,22.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.1,24.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.15,28.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.2,30.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.25,32.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.3,35.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.35,37.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.4,39.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.45,41.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.5,42.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.55,44.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.6,45.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.65,47.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.7,48.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.75,50.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.8,52.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.85,53.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.9,55.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.95,60.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.975,62.0
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.99,64.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.01,19.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.025,20.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.05,21.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.1,23.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.15,25.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.2,27.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.25,29.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.3,32.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.35,33.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.4,34.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.45,37.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.5,39.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.55,40.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.6,42.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.65,45.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.7,46.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.75,48.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.8,49.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.85,51.0
2025-04-19,wk inc flu hosp,2,2025-05-03,01,quantile,0.9,55.0
