reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.01,50.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.01,63.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.01,77.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.01,88.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.025,55.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.025,72.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.025,89.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.025,106.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.05,61.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.05,80.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.05,102.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.05,123.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.1,67.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.1,89.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.1,117.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.1,147.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.15,71.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.15,97.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.15,128.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.15,165.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.2,75.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.2,103.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.2,139.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.2,181.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.25,78.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.25,108.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.25,148.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.25,196.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.3,81.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.3,113.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.3,157.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.3,210.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.35,84.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.35,118.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.35,166.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.35,225.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.4,87.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.4,123.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.4,174.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.4,240.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.45,89.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.45,128.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.45,183.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.45,255.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.5,92.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.5,134.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.5,192.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.5,268.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.55,95.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.55,139.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.55,201.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.55,283.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.6,99.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.6,145.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.6,211.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.6,299.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.65,102.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.65,151.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.65,222.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.65,318.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.7,105.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.7,158.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.7,233.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.7,337.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.75,109.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.75,164.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.75,244.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.75,357.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.8,113.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.8,171.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.8,258.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.8,381.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.85,119.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.85,180.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.85,275.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.85,411.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.9,125.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.9,191.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.9,295.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.9,444.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.95,136.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.95,209.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.95,321.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.95,485.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.975,144.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.975,224.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.975,342.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.975,512.0
2024-12-07,wk inc flu hosp,0,2024-12-07,01,quantile,0.99,155.0
2024-12-07,wk inc flu hosp,1,2024-12-14,01,quantile,0.99,239.0
2024-12-07,wk inc flu hosp,2,2024-12-21,01,quantile,0.99,363.0
2024-12-07,wk inc flu hosp,3,2024-12-28,01,quantile,0.99,532.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.01,2.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.01,2.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.01,3.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.01,3.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.025,3.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.025,3.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.025,4.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.025,4.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.05,3.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.05,4.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.05,5.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.05,6.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.1,5.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.1,6.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.1,7.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.1,8.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.15,6.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.15,7.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.15,9.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.15,10.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.2,6.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.2,8.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.2,10.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.2,12.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.25,7.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.25,9.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.25,11.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.25,13.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.3,8.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.3,10.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.3,12.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.3,15.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.35,9.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.35,11.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.35,14.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.35,17.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.4,9.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.4,12.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.4,15.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.4,19.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.45,10.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.45,13.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.45,16.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.45,21.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.5,11.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.5,14.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.5,18.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.5,23.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.55,11.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.55,15.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.55,19.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.55,25.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.6,12.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.6,16.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.6,21.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.6,27.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.65,13.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.65,17.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.65,22.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.65,30.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.7,14.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.7,19.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.7,25.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.7,32.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.75,15.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.75,20.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.75,27.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.75,36.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.8,16.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.8,22.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.8,30.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.8,40.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.85,17.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.85,24.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.85,33.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.85,45.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.9,19.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.9,27.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.9,37.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.9,52.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.95,22.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.95,31.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.95,45.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.95,64.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.975,25.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.975,35.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.975,52.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.975,75.0
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.99,28.0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.99,40.0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.99,59.0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.99,83.0
2024-12-07,wk inc flu hosp,0,2024-12-07,04,quantile,0.01,498.0
2024-12-07,wk inc flu hosp,1,2024-12-14,04,quantile,0.01,478.0
