reference_date,target,horizon,target_end_date,output_type,output_type_id,value,location
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.01,15361,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.025,18348.5,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.05,20499,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.1,21450,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.15,21956.75,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.2,22826,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.25,23161,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.3,23475,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.35,23859.6,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.4,24130,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.45,24559.75,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.5,24939,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.55,25093,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.6,25240,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.65,25619.2,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.7,26009,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.75,26767,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.8,27317,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.85,28190,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.9,28955,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.95,30121,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.975,32722,US
2025-03-08,wk inc flu hosp,0,2025-03-08,quantile,0.99,34803.74999999976,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.01,5055.84,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.025,12816.225,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.05,15347.200000000004,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.1,16875.8,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.15,17914.85,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.2,18678.4,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.25,19182.5,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.3,19657.5,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.35,20072.5,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.4,20428.6,US
2025-03-08,wk inc flu hosp,1,2025-03-15,quantile,0.45,20907.050000000003,US
