reference_date,horizon,target_end_date,location,target,output_type,output_type_id,value
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.01,121.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.025,132.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.05,143.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.1,155.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.15,163.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.2,171.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.25,177.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.3,184.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.35,189.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.4,194.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.45,200.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.5,207.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.55,212.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.6,219.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.65,225.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.7,234.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.75,241.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.8,251.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.85,263.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.9,278.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.95,300.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.975,324.0
2025-12-06,0,2025-12-06,72,wk inc flu hosp,quantile,0.99,353.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.01,106.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.025,126.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.05,137.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.1,153.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.15,165.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.2,175.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.25,184.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.3,192.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.35,202.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.4,210.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.45,220.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.5,229.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.55,239.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.6,250.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.65,262.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.7,274.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.75,288.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.8,303.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.85,322.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.9,344.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.95,381.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.975,421.0
2025-12-06,1,2025-12-13,72,wk inc flu hosp,quantile,0.99,467.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.01,84.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.025,106.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.05,118.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.1,136.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.15,149.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.2,160.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.25,169.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.3,178.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.35,189.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.4,198.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.45,209.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.5,220.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.55,230.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.6,242.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.65,256.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.7,271.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.75,285.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.8,304.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.85,322.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.9,346.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.95,386.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.975,424.0
2025-12-06,2,2025-12-20,72,wk inc flu hosp,quantile,0.99,466.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.01,61.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.025,80.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.05,94.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.1,109.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.15,119.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.2,128.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.25,137.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.3,146.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.35,155.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.4,164.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.45,172.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.5,181.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.55,191.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.6,201.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.65,211.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.7,222.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.75,235.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.8,248.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.85,261.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.9,279.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.95,306.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.975,327.0
2025-12-06,3,2025-12-27,72,wk inc flu hosp,quantile,0.99,356.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.01,5205.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.025,5384.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.05,5535.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.1,5683.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.15,5799.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.2,5902.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.25,5999.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.3,6075.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.35,6155.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.4,6224.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.45,6301.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.5,6368.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.55,6438.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.6,6518.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.65,6598.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.7,6680.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.75,6783.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.8,6902.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.85,7049.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.9,7203.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.95,7465.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.975,7776.0
2025-12-06,0,2025-12-06,US,wk inc flu hosp,quantile,0.99,8067.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.01,5659.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.025,6099.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.05,6476.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.1,6884.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.15,7172.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.2,7424.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.25,7710.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.3,7897.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.35,8075.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.4,8256.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.45,8433.0
2025-12-06,1,2025-12-13,US,wk inc flu hosp,quantile,0.5,8625.0
