reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.01,1.117
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.01,0.74
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.01,0.848
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.01,0.46
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.01,0.34
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.025,1.619
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.025,1.132
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.025,1.173
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.025,0.763
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.025,0.639
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.05,2.072
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.05,1.761
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.05,1.645
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.05,1.244
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.05,0.974
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.1,2.831
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.1,2.524
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.1,2.257
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.1,1.763
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.1,1.577
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.15,3.275
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.15,2.946
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.15,2.661
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.15,2.217
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.15,2.032
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.2,3.678
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.2,3.392
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.2,2.951
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.2,2.561
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.2,2.408
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.25,4.039
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.25,3.834
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.25,3.316
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.25,2.929
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.25,2.794
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.3,4.438
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.3,4.177
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.3,3.645
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.3,3.176
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.3,3.133
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.35,4.813
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.35,4.515
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.35,3.925
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.35,3.511
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.35,3.421
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.4,5.155
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.4,4.889
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.4,4.107
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.4,3.824
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.4,3.665
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.45,5.532
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.45,5.236
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.45,4.368
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.45,4.083
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.45,3.973
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.5,5.857
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.5,5.529
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.5,4.72
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.5,4.435
2023-12-30,wk inc flu hosp,3,2024-01-20,02,quantile,0.5,4.219
2023-12-30,wk inc flu hosp,-1,2023-12-23,02,quantile,0.55,6.166
2023-12-30,wk inc flu hosp,0,2023-12-30,02,quantile,0.55,5.863
2023-12-30,wk inc flu hosp,1,2024-01-06,02,quantile,0.55,5.036
2023-12-30,wk inc flu hosp,2,2024-01-13,02,quantile,0.55,4.734
