reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.01,25.21
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.01,15.47
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.01,14.22
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.01,12.92
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.025,29.86
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.025,19.56
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.025,18.24
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.025,16.77
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.05,34.43
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.05,23.79
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.05,22.43
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.05,20.82
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.1,40.42
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.1,29.6
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.1,28.25
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.1,26.5
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.15,44.93
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.15,34.16
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.15,32.85
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.15,31.03
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.2,48.82
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.2,38.2
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.2,36.95
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.2,35.08
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.25,52.37
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.25,41.97
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.25,40.8
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.25,38.9
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.3,55.74
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.3,45.62
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.3,44.55
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.3,42.62
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.35,59.03
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.35,49.24
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.35,48.27
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.35,46.34
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.4,62.29
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.4,52.89
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.4,52.03
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.4,50.11
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.45,65.59
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.45,56.64
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.45,55.91
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.45,53.99
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.5,68.98
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.5,60.54
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.5,59.95
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.5,58.06
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.55,72.52
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.55,64.66
2026-03-21,wk inc flu hosp,2,2026-04-04,01,quantile,0.55,64.24
2026-03-21,wk inc flu hosp,3,2026-04-11,01,quantile,0.55,62.39
2026-03-21,wk inc flu hosp,0,2026-03-21,01,quantile,0.6,76.26
2026-03-21,wk inc flu hosp,1,2026-03-28,01,quantile,0.6,69.09
