"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.01","1090.34"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.025","1121.61"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.05","1164.69"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.1","1210.16"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.15","1248.97"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.2","1292.93"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.25","1328.75"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.3","1363.28"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.35","1393.61"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.4","1420.70"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.45","1450.72"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.5","1474.00"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.55","1499.13"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.6","1522.70"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.65","1554.34"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.7","1591.92"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.75","1627.60"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.8","1666.57"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.85","1717.93"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.9","1762.66"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.95","1848.16"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.975","1929.46"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","US","quantile","0.99","2033.30"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.01","1114.91"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.025","1159.55"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.05","1216.64"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.1","1297.89"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.15","1362.41"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.2","1408.24"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.25","1449.66"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.3","1479.50"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.35","1509.27"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.4","1540.23"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.45","1577.59"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.5","1610.28"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.55","1650.02"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.6","1680.68"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.65","1712.11"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.7","1751.16"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.75","1794.74"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.8","1834.68"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.85","1890.66"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.9","1966.60"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.95","2083.02"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.975","2203.26"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","US","quantile","0.99","2350.60"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.01","1139.78"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.025","1212.70"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.05","1284.70"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.1","1387.67"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.15","1448.58"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.2","1499.35"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.25","1542.42"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.3","1592.57"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.35","1636.38"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.4","1675.91"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.45","1717.34"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.5","1755.91"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.55","1790.09"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.6","1841.70"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.65","1882.16"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.7","1931.50"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.75","1988.17"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.8","2046.87"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.85","2123.15"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.9","2237.07"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.95","2417.26"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.975","2575.90"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","US","quantile","0.99","2794.85"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.01","1175.62"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.025","1250.29"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.05","1343.80"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.1","1458.66"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.15","1528.81"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.2","1602.30"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.25","1661.34"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.3","1706.78"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.35","1752.21"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.4","1799.02"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.45","1856.25"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.5","1913.43"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.55","1967.00"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.6","2024.44"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.65","2079.27"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.7","2148.54"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.75","2217.19"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.8","2294.75"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.85","2419.93"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.9","2567.88"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.95","2819.26"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.975","3064.24"
"2023-10-28","wk inc flu hosp",2,"2023-11-11","US","quantile","0.99","3384.92"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.01","1191.29"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.025","1308.08"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.05","1408.70"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.1","1509.47"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.15","1608.89"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.2","1683.04"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.25","1752.22"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.3","1818.36"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.35","1878.92"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.4","1956.91"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.45","2024.86"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.5","2088.59"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.55","2153.22"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.6","2228.37"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.65","2305.56"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.7","2383.32"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.75","2480.95"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.8","2585.38"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.85","2715.51"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.9","2940.98"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.95","3273.47"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.975","3664.10"
"2023-10-28","wk inc flu hosp",3,"2023-11-18","US","quantile","0.99","4023.47"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.01","15"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.025","16"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.05","17"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.1","18"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.15","18.21"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.2","19"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.25","19"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.3","20"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.35","20"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.4","20"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.45","21"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.5","21"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.55","21"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.6","22"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.65","22"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.7","22.14"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.75","23"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.8","23"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.85","24"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.9","24.66"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.95","25.93"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.975","26.83"
"2023-10-28","wk inc flu hosp",-1,"2023-10-21","02","quantile","0.99","28"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.01","15"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.025","16"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.05","17"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.1","18"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.15","19"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.2","19"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.25","19.13"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.3","20"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.35","20"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.4","20.1"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.45","21"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.5","21"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.55","21.3"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.6","22"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.65","22"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.7","22.33"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.75","23"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.8","23"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.85","24"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.9","24.81"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.95","26"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.975","26.54"
"2023-10-28","wk inc flu hosp",0,"2023-10-28","02","quantile","0.99","27"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.01","15.17"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.025","16"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.05","17"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.1","18"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.15","18.39"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.2","19"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.25","19"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.3","20"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.35","20"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.4","20"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.45","21"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.5","21"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.55","21"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.6","22"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.65","22"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.7","22.74"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.75","23"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.8","23.11"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.85","24"
"2023-10-28","wk inc flu hosp",1,"2023-11-04","02","quantile","0.9","25"
