reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-03-15,0,wk flu hosp rate change,2025-03-15,01,pmf,decrease,0.174
2025-03-15,0,wk flu hosp rate change,2025-03-15,01,pmf,increase,0.112
2025-03-15,0,wk flu hosp rate change,2025-03-15,01,pmf,large_decrease,0
2025-03-15,0,wk flu hosp rate change,2025-03-15,01,pmf,large_increase,0.056
2025-03-15,0,wk flu hosp rate change,2025-03-15,01,pmf,stable,0.658
2025-03-15,1,wk flu hosp rate change,2025-03-22,01,pmf,decrease,0.106
2025-03-15,1,wk flu hosp rate change,2025-03-22,01,pmf,increase,0.069
2025-03-15,1,wk flu hosp rate change,2025-03-22,01,pmf,large_decrease,0.037
2025-03-15,1,wk flu hosp rate change,2025-03-22,01,pmf,large_increase,0.063
2025-03-15,1,wk flu hosp rate change,2025-03-22,01,pmf,stable,0.725
2025-03-15,2,wk flu hosp rate change,2025-03-29,01,pmf,decrease,0.107
2025-03-15,2,wk flu hosp rate change,2025-03-29,01,pmf,increase,0.076
2025-03-15,2,wk flu hosp rate change,2025-03-29,01,pmf,large_decrease,0.031
2025-03-15,2,wk flu hosp rate change,2025-03-29,01,pmf,large_increase,0.05
2025-03-15,2,wk flu hosp rate change,2025-03-29,01,pmf,stable,0.736
2025-03-15,3,wk flu hosp rate change,2025-04-05,01,pmf,decrease,0.108
2025-03-15,3,wk flu hosp rate change,2025-04-05,01,pmf,increase,0.095
2025-03-15,3,wk flu hosp rate change,2025-04-05,01,pmf,large_decrease,0.025
2025-03-15,3,wk flu hosp rate change,2025-04-05,01,pmf,large_increase,0.038
2025-03-15,3,wk flu hosp rate change,2025-04-05,01,pmf,stable,0.734
2025-03-15,0,wk flu hosp rate change,2025-03-15,02,pmf,decrease,0.05
2025-03-15,0,wk flu hosp rate change,2025-03-15,02,pmf,increase,0.006
2025-03-15,0,wk flu hosp rate change,2025-03-15,02,pmf,large_decrease,0
2025-03-15,0,wk flu hosp rate change,2025-03-15,02,pmf,large_increase,0.037
2025-03-15,0,wk flu hosp rate change,2025-03-15,02,pmf,stable,0.907
2025-03-15,1,wk flu hosp rate change,2025-03-22,02,pmf,decrease,0.031
2025-03-15,1,wk flu hosp rate change,2025-03-22,02,pmf,increase,0.075
2025-03-15,1,wk flu hosp rate change,2025-03-22,02,pmf,large_decrease,0.031
2025-03-15,1,wk flu hosp rate change,2025-03-22,02,pmf,large_increase,0.013
2025-03-15,1,wk flu hosp rate change,2025-03-22,02,pmf,stable,0.85
2025-03-15,2,wk flu hosp rate change,2025-03-29,02,pmf,decrease,0.076
2025-03-15,2,wk flu hosp rate change,2025-03-29,02,pmf,increase,0.088
2025-03-15,2,wk flu hosp rate change,2025-03-29,02,pmf,large_decrease,0.025
2025-03-15,2,wk flu hosp rate change,2025-03-29,02,pmf,large_increase,0.031
2025-03-15,2,wk flu hosp rate change,2025-03-29,02,pmf,stable,0.78
2025-03-15,3,wk flu hosp rate change,2025-04-05,02,pmf,decrease,0.076
2025-03-15,3,wk flu hosp rate change,2025-04-05,02,pmf,increase,0.114
2025-03-15,3,wk flu hosp rate change,2025-04-05,02,pmf,large_decrease,0.019
2025-03-15,3,wk flu hosp rate change,2025-04-05,02,pmf,large_increase,0.025
2025-03-15,3,wk flu hosp rate change,2025-04-05,02,pmf,stable,0.766
2025-03-15,0,wk flu hosp rate change,2025-03-15,04,pmf,decrease,0.193
2025-03-15,0,wk flu hosp rate change,2025-03-15,04,pmf,increase,0.13
2025-03-15,0,wk flu hosp rate change,2025-03-15,04,pmf,large_decrease,0
2025-03-15,0,wk flu hosp rate change,2025-03-15,04,pmf,large_increase,0.087
2025-03-15,0,wk flu hosp rate change,2025-03-15,04,pmf,stable,0.59
