reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-27,0,wk flu hosp rate change,2024-01-27,04,pmf,stable,0.127
2024-01-27,0,wk flu hosp rate change,2024-01-27,04,pmf,increase,0.097
2024-01-27,0,wk flu hosp rate change,2024-01-27,04,pmf,large_increase,0.721
2024-01-27,0,wk flu hosp rate change,2024-01-27,04,pmf,decrease,0.032
2024-01-27,0,wk flu hosp rate change,2024-01-27,04,pmf,large_decrease,0.023
2024-01-27,1,wk flu hosp rate change,2024-02-03,04,pmf,stable,0.156
2024-01-27,1,wk flu hosp rate change,2024-02-03,04,pmf,increase,0.225
2024-01-27,1,wk flu hosp rate change,2024-02-03,04,pmf,large_increase,0.54
2024-01-27,1,wk flu hosp rate change,2024-02-03,04,pmf,decrease,0.066
2024-01-27,1,wk flu hosp rate change,2024-02-03,04,pmf,large_decrease,0.013
2024-01-27,2,wk flu hosp rate change,2024-02-10,04,pmf,stable,0.36
2024-01-27,2,wk flu hosp rate change,2024-02-10,04,pmf,increase,0.229
2024-01-27,2,wk flu hosp rate change,2024-02-10,04,pmf,large_increase,0.358
2024-01-27,2,wk flu hosp rate change,2024-02-10,04,pmf,decrease,0.047
2024-01-27,2,wk flu hosp rate change,2024-02-10,04,pmf,large_decrease,0.006
2024-01-27,3,wk flu hosp rate change,2024-02-17,04,pmf,stable,0.491
2024-01-27,3,wk flu hosp rate change,2024-02-17,04,pmf,increase,0.248
2024-01-27,3,wk flu hosp rate change,2024-02-17,04,pmf,large_increase,0.211
2024-01-27,3,wk flu hosp rate change,2024-02-17,04,pmf,decrease,0.047
2024-01-27,3,wk flu hosp rate change,2024-02-17,04,pmf,large_decrease,0.003
2024-01-27,0,wk flu hosp rate change,2024-01-27,05,pmf,stable,0.265
2024-01-27,0,wk flu hosp rate change,2024-01-27,05,pmf,increase,0.043
2024-01-27,0,wk flu hosp rate change,2024-01-27,05,pmf,large_increase,0.022
2024-01-27,0,wk flu hosp rate change,2024-01-27,05,pmf,decrease,0.245
2024-01-27,0,wk flu hosp rate change,2024-01-27,05,pmf,large_decrease,0.425
2024-01-27,1,wk flu hosp rate change,2024-02-03,05,pmf,stable,0.27
2024-01-27,1,wk flu hosp rate change,2024-02-03,05,pmf,increase,0.058
2024-01-27,1,wk flu hosp rate change,2024-02-03,05,pmf,large_increase,0.007
2024-01-27,1,wk flu hosp rate change,2024-02-03,05,pmf,decrease,0.478
2024-01-27,1,wk flu hosp rate change,2024-02-03,05,pmf,large_decrease,0.187
2024-01-27,2,wk flu hosp rate change,2024-02-10,05,pmf,stable,0.561
2024-01-27,2,wk flu hosp rate change,2024-02-10,05,pmf,increase,0.021
2024-01-27,2,wk flu hosp rate change,2024-02-10,05,pmf,large_increase,0.002
2024-01-27,2,wk flu hosp rate change,2024-02-10,05,pmf,decrease,0.372
2024-01-27,2,wk flu hosp rate change,2024-02-10,05,pmf,large_decrease,0.044
2024-01-27,3,wk flu hosp rate change,2024-02-17,05,pmf,stable,0.695
2024-01-27,3,wk flu hosp rate change,2024-02-17,05,pmf,increase,0.012
2024-01-27,3,wk flu hosp rate change,2024-02-17,05,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,05,pmf,decrease,0.288
2024-01-27,3,wk flu hosp rate change,2024-02-17,05,pmf,large_decrease,0.005
2024-01-27,0,wk flu hosp rate change,2024-01-27,09,pmf,stable,0.415
2024-01-27,0,wk flu hosp rate change,2024-01-27,09,pmf,increase,0.028
2024-01-27,0,wk flu hosp rate change,2024-01-27,09,pmf,large_increase,0.007
2024-01-27,0,wk flu hosp rate change,2024-01-27,09,pmf,decrease,0.409
2024-01-27,0,wk flu hosp rate change,2024-01-27,09,pmf,large_decrease,0.141
2024-01-27,1,wk flu hosp rate change,2024-02-03,09,pmf,stable,0.375
2024-01-27,1,wk flu hosp rate change,2024-02-03,09,pmf,increase,0.025
2024-01-27,1,wk flu hosp rate change,2024-02-03,09,pmf,large_increase,0
2024-01-27,1,wk flu hosp rate change,2024-02-03,09,pmf,decrease,0.596
2024-01-27,1,wk flu hosp rate change,2024-02-03,09,pmf,large_decrease,0.004
2024-01-27,2,wk flu hosp rate change,2024-02-10,09,pmf,stable,0.773
2024-01-27,2,wk flu hosp rate change,2024-02-10,09,pmf,increase,0.002
2024-01-27,2,wk flu hosp rate change,2024-02-10,09,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,09,pmf,decrease,0.225
2024-01-27,2,wk flu hosp rate change,2024-02-10,09,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,09,pmf,stable,0.924
2024-01-27,3,wk flu hosp rate change,2024-02-17,09,pmf,increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,09,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,09,pmf,decrease,0.076
2024-01-27,3,wk flu hosp rate change,2024-02-17,09,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,10,pmf,stable,0.518
2024-01-27,0,wk flu hosp rate change,2024-01-27,10,pmf,increase,0.155
2024-01-27,0,wk flu hosp rate change,2024-01-27,10,pmf,large_increase,0.127
2024-01-27,0,wk flu hosp rate change,2024-01-27,10,pmf,decrease,0.163
2024-01-27,0,wk flu hosp rate change,2024-01-27,10,pmf,large_decrease,0.037
2024-01-27,1,wk flu hosp rate change,2024-02-03,10,pmf,stable,0.519
2024-01-27,1,wk flu hosp rate change,2024-02-03,10,pmf,increase,0.231
2024-01-27,1,wk flu hosp rate change,2024-02-03,10,pmf,large_increase,0.05
2024-01-27,1,wk flu hosp rate change,2024-02-03,10,pmf,decrease,0.199
2024-01-27,1,wk flu hosp rate change,2024-02-03,10,pmf,large_decrease,0.001
2024-01-27,2,wk flu hosp rate change,2024-02-10,10,pmf,stable,0.836
2024-01-27,2,wk flu hosp rate change,2024-02-10,10,pmf,increase,0.111
2024-01-27,2,wk flu hosp rate change,2024-02-10,10,pmf,large_increase,0.016
2024-01-27,2,wk flu hosp rate change,2024-02-10,10,pmf,decrease,0.037
2024-01-27,2,wk flu hosp rate change,2024-02-10,10,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,10,pmf,stable,0.909
2024-01-27,3,wk flu hosp rate change,2024-02-17,10,pmf,increase,0.079
2024-01-27,3,wk flu hosp rate change,2024-02-17,10,pmf,large_increase,0.005
2024-01-27,3,wk flu hosp rate change,2024-02-17,10,pmf,decrease,0.007
2024-01-27,3,wk flu hosp rate change,2024-02-17,10,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,15,pmf,stable,0.498
2024-01-27,0,wk flu hosp rate change,2024-01-27,15,pmf,increase,0.364
2024-01-27,0,wk flu hosp rate change,2024-01-27,15,pmf,large_increase,0.136
2024-01-27,0,wk flu hosp rate change,2024-01-27,15,pmf,decrease,0.002
2024-01-27,0,wk flu hosp rate change,2024-01-27,15,pmf,large_decrease,0
2024-01-27,1,wk flu hosp rate change,2024-02-03,15,pmf,stable,0.498
2024-01-27,1,wk flu hosp rate change,2024-02-03,15,pmf,increase,0.475
2024-01-27,1,wk flu hosp rate change,2024-02-03,15,pmf,large_increase,0.025
2024-01-27,1,wk flu hosp rate change,2024-02-03,15,pmf,decrease,0.002
2024-01-27,1,wk flu hosp rate change,2024-02-03,15,pmf,large_decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,15,pmf,stable,0.866
2024-01-27,2,wk flu hosp rate change,2024-02-10,15,pmf,increase,0.131
2024-01-27,2,wk flu hosp rate change,2024-02-10,15,pmf,large_increase,0.003
2024-01-27,2,wk flu hosp rate change,2024-02-10,15,pmf,decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,15,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,15,pmf,stable,0.936
2024-01-27,3,wk flu hosp rate change,2024-02-17,15,pmf,increase,0.064
2024-01-27,3,wk flu hosp rate change,2024-02-17,15,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,15,pmf,decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,15,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,16,pmf,stable,0.361
2024-01-27,0,wk flu hosp rate change,2024-01-27,16,pmf,increase,0.069
2024-01-27,0,wk flu hosp rate change,2024-01-27,16,pmf,large_increase,0.036
2024-01-27,0,wk flu hosp rate change,2024-01-27,16,pmf,decrease,0.297
2024-01-27,0,wk flu hosp rate change,2024-01-27,16,pmf,large_decrease,0.237
2024-01-27,1,wk flu hosp rate change,2024-02-03,16,pmf,stable,0.317
2024-01-27,1,wk flu hosp rate change,2024-02-03,16,pmf,increase,0.062
2024-01-27,1,wk flu hosp rate change,2024-02-03,16,pmf,large_increase,0.007
2024-01-27,1,wk flu hosp rate change,2024-02-03,16,pmf,decrease,0.54
2024-01-27,1,wk flu hosp rate change,2024-02-03,16,pmf,large_decrease,0.074
2024-01-27,2,wk flu hosp rate change,2024-02-10,16,pmf,stable,0.62
2024-01-27,2,wk flu hosp rate change,2024-02-10,16,pmf,increase,0.013
2024-01-27,2,wk flu hosp rate change,2024-02-10,16,pmf,large_increase,0.001
2024-01-27,2,wk flu hosp rate change,2024-02-10,16,pmf,decrease,0.361
2024-01-27,2,wk flu hosp rate change,2024-02-10,16,pmf,large_decrease,0.005
2024-01-27,3,wk flu hosp rate change,2024-02-17,16,pmf,stable,0.711
2024-01-27,3,wk flu hosp rate change,2024-02-17,16,pmf,increase,0.006
2024-01-27,3,wk flu hosp rate change,2024-02-17,16,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,16,pmf,decrease,0.283
2024-01-27,3,wk flu hosp rate change,2024-02-17,16,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,17,pmf,stable,0.547
2024-01-27,0,wk flu hosp rate change,2024-01-27,17,pmf,increase,0.008
2024-01-27,0,wk flu hosp rate change,2024-01-27,17,pmf,large_increase,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,17,pmf,decrease,0.434
2024-01-27,0,wk flu hosp rate change,2024-01-27,17,pmf,large_decrease,0.011
2024-01-27,1,wk flu hosp rate change,2024-02-03,17,pmf,stable,0.547
2024-01-27,1,wk flu hosp rate change,2024-02-03,17,pmf,increase,0.008
2024-01-27,1,wk flu hosp rate change,2024-02-03,17,pmf,large_increase,0
2024-01-27,1,wk flu hosp rate change,2024-02-03,17,pmf,decrease,0.445
2024-01-27,1,wk flu hosp rate change,2024-02-03,17,pmf,large_decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,17,pmf,stable,0.989
2024-01-27,2,wk flu hosp rate change,2024-02-10,17,pmf,increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,17,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,17,pmf,decrease,0.011
2024-01-27,2,wk flu hosp rate change,2024-02-10,17,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,17,pmf,stable,1
2024-01-27,3,wk flu hosp rate change,2024-02-17,17,pmf,increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,17,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,17,pmf,decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,17,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,18,pmf,stable,0.378
2024-01-27,0,wk flu hosp rate change,2024-01-27,18,pmf,increase,0.044
2024-01-27,0,wk flu hosp rate change,2024-01-27,18,pmf,large_increase,0.014
2024-01-27,0,wk flu hosp rate change,2024-01-27,18,pmf,decrease,0.327
2024-01-27,0,wk flu hosp rate change,2024-01-27,18,pmf,large_decrease,0.237
2024-01-27,1,wk flu hosp rate change,2024-02-03,18,pmf,stable,0.378
2024-01-27,1,wk flu hosp rate change,2024-02-03,18,pmf,increase,0.055
2024-01-27,1,wk flu hosp rate change,2024-02-03,18,pmf,large_increase,0.003
2024-01-27,1,wk flu hosp rate change,2024-02-03,18,pmf,decrease,0.527
2024-01-27,1,wk flu hosp rate change,2024-02-03,18,pmf,large_decrease,0.037
2024-01-27,2,wk flu hosp rate change,2024-02-10,18,pmf,stable,0.749
2024-01-27,2,wk flu hosp rate change,2024-02-10,18,pmf,increase,0.014
2024-01-27,2,wk flu hosp rate change,2024-02-10,18,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,18,pmf,decrease,0.236
2024-01-27,2,wk flu hosp rate change,2024-02-10,18,pmf,large_decrease,0.001
2024-01-27,3,wk flu hosp rate change,2024-02-17,18,pmf,stable,0.882
2024-01-27,3,wk flu hosp rate change,2024-02-17,18,pmf,increase,0.007
2024-01-27,3,wk flu hosp rate change,2024-02-17,18,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,18,pmf,decrease,0.111
2024-01-27,3,wk flu hosp rate change,2024-02-17,18,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,20,pmf,stable,0.587
2024-01-27,0,wk flu hosp rate change,2024-01-27,20,pmf,increase,0.012
2024-01-27,0,wk flu hosp rate change,2024-01-27,20,pmf,large_increase,0.001
2024-01-27,0,wk flu hosp rate change,2024-01-27,20,pmf,decrease,0.396
2024-01-27,0,wk flu hosp rate change,2024-01-27,20,pmf,large_decrease,0.004
2024-01-27,1,wk flu hosp rate change,2024-02-03,20,pmf,stable,0.54
2024-01-27,1,wk flu hosp rate change,2024-02-03,20,pmf,increase,0.01
2024-01-27,1,wk flu hosp rate change,2024-02-03,20,pmf,large_increase,0
2024-01-27,1,wk flu hosp rate change,2024-02-03,20,pmf,decrease,0.45
2024-01-27,1,wk flu hosp rate change,2024-02-03,20,pmf,large_decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,20,pmf,stable,0.995
2024-01-27,2,wk flu hosp rate change,2024-02-10,20,pmf,increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,20,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,20,pmf,decrease,0.005
2024-01-27,2,wk flu hosp rate change,2024-02-10,20,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,20,pmf,stable,1
2024-01-27,3,wk flu hosp rate change,2024-02-17,20,pmf,increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,20,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,20,pmf,decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,20,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,21,pmf,stable,0.354
2024-01-27,0,wk flu hosp rate change,2024-01-27,21,pmf,increase,0.035
2024-01-27,0,wk flu hosp rate change,2024-01-27,21,pmf,large_increase,0.011
2024-01-27,0,wk flu hosp rate change,2024-01-27,21,pmf,decrease,0.35
2024-01-27,0,wk flu hosp rate change,2024-01-27,21,pmf,large_decrease,0.25
2024-01-27,1,wk flu hosp rate change,2024-02-03,21,pmf,stable,0.355
2024-01-27,1,wk flu hosp rate change,2024-02-03,21,pmf,increase,0.043
2024-01-27,1,wk flu hosp rate change,2024-02-03,21,pmf,large_increase,0.002
2024-01-27,1,wk flu hosp rate change,2024-02-03,21,pmf,decrease,0.571
2024-01-27,1,wk flu hosp rate change,2024-02-03,21,pmf,large_decrease,0.029
2024-01-27,2,wk flu hosp rate change,2024-02-10,21,pmf,stable,0.739
2024-01-27,2,wk flu hosp rate change,2024-02-10,21,pmf,increase,0.011
2024-01-27,2,wk flu hosp rate change,2024-02-10,21,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,21,pmf,decrease,0.25
2024-01-27,2,wk flu hosp rate change,2024-02-10,21,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,21,pmf,stable,0.885
2024-01-27,3,wk flu hosp rate change,2024-02-17,21,pmf,increase,0.005
2024-01-27,3,wk flu hosp rate change,2024-02-17,21,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,21,pmf,decrease,0.11
2024-01-27,3,wk flu hosp rate change,2024-02-17,21,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,23,pmf,stable,0.32
2024-01-27,0,wk flu hosp rate change,2024-01-27,23,pmf,increase,0.008
2024-01-27,0,wk flu hosp rate change,2024-01-27,23,pmf,large_increase,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,23,pmf,decrease,0.497
2024-01-27,0,wk flu hosp rate change,2024-01-27,23,pmf,large_decrease,0.175
2024-01-27,1,wk flu hosp rate change,2024-02-03,23,pmf,stable,0.217
2024-01-27,1,wk flu hosp rate change,2024-02-03,23,pmf,increase,0.004
2024-01-27,1,wk flu hosp rate change,2024-02-03,23,pmf,large_increase,0
2024-01-27,1,wk flu hosp rate change,2024-02-03,23,pmf,decrease,0.779
2024-01-27,1,wk flu hosp rate change,2024-02-03,23,pmf,large_decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,23,pmf,stable,0.65
2024-01-27,2,wk flu hosp rate change,2024-02-10,23,pmf,increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,23,pmf,large_increase,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,23,pmf,decrease,0.35
2024-01-27,2,wk flu hosp rate change,2024-02-10,23,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,23,pmf,stable,0.9
2024-01-27,3,wk flu hosp rate change,2024-02-17,23,pmf,increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,23,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,23,pmf,decrease,0.1
2024-01-27,3,wk flu hosp rate change,2024-02-17,23,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,24,pmf,stable,0.619
2024-01-27,0,wk flu hosp rate change,2024-01-27,24,pmf,increase,0.25
2024-01-27,0,wk flu hosp rate change,2024-01-27,24,pmf,large_increase,0.1
2024-01-27,0,wk flu hosp rate change,2024-01-27,24,pmf,decrease,0.03
2024-01-27,0,wk flu hosp rate change,2024-01-27,24,pmf,large_decrease,0.001
2024-01-27,1,wk flu hosp rate change,2024-02-03,24,pmf,stable,0.673
2024-01-27,1,wk flu hosp rate change,2024-02-03,24,pmf,increase,0.265
2024-01-27,1,wk flu hosp rate change,2024-02-03,24,pmf,large_increase,0.012
2024-01-27,1,wk flu hosp rate change,2024-02-03,24,pmf,decrease,0.05
2024-01-27,1,wk flu hosp rate change,2024-02-03,24,pmf,large_decrease,0
2024-01-27,2,wk flu hosp rate change,2024-02-10,24,pmf,stable,0.953
2024-01-27,2,wk flu hosp rate change,2024-02-10,24,pmf,increase,0.045
2024-01-27,2,wk flu hosp rate change,2024-02-10,24,pmf,large_increase,0.001
2024-01-27,2,wk flu hosp rate change,2024-02-10,24,pmf,decrease,0.001
2024-01-27,2,wk flu hosp rate change,2024-02-10,24,pmf,large_decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,24,pmf,stable,0.989
2024-01-27,3,wk flu hosp rate change,2024-02-17,24,pmf,increase,0.011
2024-01-27,3,wk flu hosp rate change,2024-02-17,24,pmf,large_increase,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,24,pmf,decrease,0
2024-01-27,3,wk flu hosp rate change,2024-02-17,24,pmf,large_decrease,0
2024-01-27,0,wk flu hosp rate change,2024-01-27,25,pmf,stable,0.44
2024-01-27,0,wk flu hosp rate change,2024-01-27,25,pmf,increase,0.095
2024-01-27,0,wk flu hosp rate change,2024-01-27,25,pmf,large_increase,0.061
2024-01-27,0,wk flu hosp rate change,2024-01-27,25,pmf,decrease,0.246
2024-01-27,0,wk flu hosp rate change,2024-01-27,25,pmf,large_decrease,0.158
2024-01-27,1,wk flu hosp rate change,2024-02-03,25,pmf,stable,0.333
2024-01-27,1,wk flu hosp rate change,2024-02-03,25,pmf,increase,0.064
2024-01-27,1,wk flu hosp rate change,2024-02-03,25,pmf,large_increase,0.006
2024-01-27,1,wk flu hosp rate change,2024-02-03,25,pmf,decrease,0.51
2024-01-27,1,wk flu hosp rate change,2024-02-03,25,pmf,large_decrease,0.087
2024-01-27,2,wk flu hosp rate change,2024-02-10,25,pmf,stable,0.465
2024-01-27,2,wk flu hosp rate change,2024-02-10,25,pmf,increase,0.006
2024-01-27,2,wk flu hosp rate change,2024-02-10,25,pmf,large_increase,0
