reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-20,0,wk flu hosp rate change,2024-01-20,01,pmf,stable,0.486
2024-01-20,0,wk flu hosp rate change,2024-01-20,01,pmf,increase,0.175
2024-01-20,0,wk flu hosp rate change,2024-01-20,01,pmf,large_increase,0.117
2024-01-20,0,wk flu hosp rate change,2024-01-20,01,pmf,decrease,0.142
2024-01-20,0,wk flu hosp rate change,2024-01-20,01,pmf,large_decrease,0.08
2024-01-20,1,wk flu hosp rate change,2024-01-27,01,pmf,stable,0.392
2024-01-20,1,wk flu hosp rate change,2024-01-27,01,pmf,increase,0.257
2024-01-20,1,wk flu hosp rate change,2024-01-27,01,pmf,large_increase,0.071
2024-01-20,1,wk flu hosp rate change,2024-01-27,01,pmf,decrease,0.226
2024-01-20,1,wk flu hosp rate change,2024-01-27,01,pmf,large_decrease,0.054
2024-01-20,2,wk flu hosp rate change,2024-02-03,01,pmf,stable,0.611
2024-01-20,2,wk flu hosp rate change,2024-02-03,01,pmf,increase,0.163
2024-01-20,2,wk flu hosp rate change,2024-02-03,01,pmf,large_increase,0.046
2024-01-20,2,wk flu hosp rate change,2024-02-03,01,pmf,decrease,0.142
2024-01-20,2,wk flu hosp rate change,2024-02-03,01,pmf,large_decrease,0.038
2024-01-20,3,wk flu hosp rate change,2024-02-10,01,pmf,stable,0.655
2024-01-20,3,wk flu hosp rate change,2024-02-10,01,pmf,increase,0.15
2024-01-20,3,wk flu hosp rate change,2024-02-10,01,pmf,large_increase,0.032
2024-01-20,3,wk flu hosp rate change,2024-02-10,01,pmf,decrease,0.163
2024-01-20,3,wk flu hosp rate change,2024-02-10,01,pmf,large_decrease,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,02,pmf,stable,0.925
2024-01-20,0,wk flu hosp rate change,2024-01-20,02,pmf,increase,0.04
2024-01-20,0,wk flu hosp rate change,2024-01-20,02,pmf,large_increase,0.01
2024-01-20,0,wk flu hosp rate change,2024-01-20,02,pmf,decrease,0.025
2024-01-20,0,wk flu hosp rate change,2024-01-20,02,pmf,large_decrease,0
2024-01-20,1,wk flu hosp rate change,2024-01-27,02,pmf,stable,0.829
2024-01-20,1,wk flu hosp rate change,2024-01-27,02,pmf,increase,0.116
2024-01-20,1,wk flu hosp rate change,2024-01-27,02,pmf,large_increase,0.005
2024-01-20,1,wk flu hosp rate change,2024-01-27,02,pmf,decrease,0.05
2024-01-20,1,wk flu hosp rate change,2024-01-27,02,pmf,large_decrease,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,02,pmf,stable,0.919
2024-01-20,2,wk flu hosp rate change,2024-02-03,02,pmf,increase,0.078
2024-01-20,2,wk flu hosp rate change,2024-02-03,02,pmf,large_increase,0.003
2024-01-20,2,wk flu hosp rate change,2024-02-03,02,pmf,decrease,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,02,pmf,large_decrease,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,02,pmf,stable,0.939
2024-01-20,3,wk flu hosp rate change,2024-02-10,02,pmf,increase,0.06
2024-01-20,3,wk flu hosp rate change,2024-02-10,02,pmf,large_increase,0.001
2024-01-20,3,wk flu hosp rate change,2024-02-10,02,pmf,decrease,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,02,pmf,large_decrease,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,04,pmf,stable,0.198
2024-01-20,0,wk flu hosp rate change,2024-01-20,04,pmf,increase,0.092
2024-01-20,0,wk flu hosp rate change,2024-01-20,04,pmf,large_increase,0.286
2024-01-20,0,wk flu hosp rate change,2024-01-20,04,pmf,decrease,0.096
2024-01-20,0,wk flu hosp rate change,2024-01-20,04,pmf,large_decrease,0.328
2024-01-20,1,wk flu hosp rate change,2024-01-27,04,pmf,stable,0.139
2024-01-20,1,wk flu hosp rate change,2024-01-27,04,pmf,increase,0.129
2024-01-20,1,wk flu hosp rate change,2024-01-27,04,pmf,large_increase,0.277
2024-01-20,1,wk flu hosp rate change,2024-01-27,04,pmf,decrease,0.134
2024-01-20,1,wk flu hosp rate change,2024-01-27,04,pmf,large_decrease,0.321
2024-01-20,2,wk flu hosp rate change,2024-02-03,04,pmf,stable,0.215
2024-01-20,2,wk flu hosp rate change,2024-02-03,04,pmf,increase,0.099
2024-01-20,2,wk flu hosp rate change,2024-02-03,04,pmf,large_increase,0.283
2024-01-20,2,wk flu hosp rate change,2024-02-03,04,pmf,decrease,0.101
2024-01-20,2,wk flu hosp rate change,2024-02-03,04,pmf,large_decrease,0.302
2024-01-20,3,wk flu hosp rate change,2024-02-10,04,pmf,stable,0.218
2024-01-20,3,wk flu hosp rate change,2024-02-10,04,pmf,increase,0.099
2024-01-20,3,wk flu hosp rate change,2024-02-10,04,pmf,large_increase,0.287
2024-01-20,3,wk flu hosp rate change,2024-02-10,04,pmf,decrease,0.101
2024-01-20,3,wk flu hosp rate change,2024-02-10,04,pmf,large_decrease,0.295
2024-01-20,0,wk flu hosp rate change,2024-01-20,05,pmf,stable,0.331
2024-01-20,0,wk flu hosp rate change,2024-01-20,05,pmf,increase,0.128
2024-01-20,0,wk flu hosp rate change,2024-01-20,05,pmf,large_increase,0.146
2024-01-20,0,wk flu hosp rate change,2024-01-20,05,pmf,decrease,0.158
2024-01-20,0,wk flu hosp rate change,2024-01-20,05,pmf,large_decrease,0.237
2024-01-20,1,wk flu hosp rate change,2024-01-27,05,pmf,stable,0.25
2024-01-20,1,wk flu hosp rate change,2024-01-27,05,pmf,increase,0.176
2024-01-20,1,wk flu hosp rate change,2024-01-27,05,pmf,large_increase,0.106
2024-01-20,1,wk flu hosp rate change,2024-01-27,05,pmf,decrease,0.242
2024-01-20,1,wk flu hosp rate change,2024-01-27,05,pmf,large_decrease,0.226
2024-01-20,2,wk flu hosp rate change,2024-02-03,05,pmf,stable,0.405
2024-01-20,2,wk flu hosp rate change,2024-02-03,05,pmf,increase,0.116
2024-01-20,2,wk flu hosp rate change,2024-02-03,05,pmf,large_increase,0.079
2024-01-20,2,wk flu hosp rate change,2024-02-03,05,pmf,decrease,0.19
2024-01-20,2,wk flu hosp rate change,2024-02-03,05,pmf,large_decrease,0.21
2024-01-20,3,wk flu hosp rate change,2024-02-10,05,pmf,stable,0.429
2024-01-20,3,wk flu hosp rate change,2024-02-10,05,pmf,increase,0.11
2024-01-20,3,wk flu hosp rate change,2024-02-10,05,pmf,large_increase,0.061
2024-01-20,3,wk flu hosp rate change,2024-02-10,05,pmf,decrease,0.204
2024-01-20,3,wk flu hosp rate change,2024-02-10,05,pmf,large_decrease,0.196
2024-01-20,0,wk flu hosp rate change,2024-01-20,06,pmf,stable,0.809
2024-01-20,0,wk flu hosp rate change,2024-01-20,06,pmf,increase,0.064
2024-01-20,0,wk flu hosp rate change,2024-01-20,06,pmf,large_increase,0.002
2024-01-20,0,wk flu hosp rate change,2024-01-20,06,pmf,decrease,0.118
2024-01-20,0,wk flu hosp rate change,2024-01-20,06,pmf,large_decrease,0.007
2024-01-20,1,wk flu hosp rate change,2024-01-27,06,pmf,stable,0.621
2024-01-20,1,wk flu hosp rate change,2024-01-27,06,pmf,increase,0.16
2024-01-20,1,wk flu hosp rate change,2024-01-27,06,pmf,large_increase,0.003
2024-01-20,1,wk flu hosp rate change,2024-01-27,06,pmf,decrease,0.213
2024-01-20,1,wk flu hosp rate change,2024-01-27,06,pmf,large_decrease,0.003
2024-01-20,2,wk flu hosp rate change,2024-02-03,06,pmf,stable,0.828
2024-01-20,2,wk flu hosp rate change,2024-02-03,06,pmf,increase,0.085
2024-01-20,2,wk flu hosp rate change,2024-02-03,06,pmf,large_increase,0.003
2024-01-20,2,wk flu hosp rate change,2024-02-03,06,pmf,decrease,0.084
2024-01-20,2,wk flu hosp rate change,2024-02-03,06,pmf,large_decrease,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,06,pmf,stable,0.85
2024-01-20,3,wk flu hosp rate change,2024-02-10,06,pmf,increase,0.084
2024-01-20,3,wk flu hosp rate change,2024-02-10,06,pmf,large_increase,0.003
2024-01-20,3,wk flu hosp rate change,2024-02-10,06,pmf,decrease,0.063
2024-01-20,3,wk flu hosp rate change,2024-02-10,06,pmf,large_decrease,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,08,pmf,stable,0.979
2024-01-20,0,wk flu hosp rate change,2024-01-20,08,pmf,increase,0.018
2024-01-20,0,wk flu hosp rate change,2024-01-20,08,pmf,large_increase,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,08,pmf,decrease,0.003
2024-01-20,0,wk flu hosp rate change,2024-01-20,08,pmf,large_decrease,0
2024-01-20,1,wk flu hosp rate change,2024-01-27,08,pmf,stable,0.849
2024-01-20,1,wk flu hosp rate change,2024-01-27,08,pmf,increase,0.126
2024-01-20,1,wk flu hosp rate change,2024-01-27,08,pmf,large_increase,0
2024-01-20,1,wk flu hosp rate change,2024-01-27,08,pmf,decrease,0.025
2024-01-20,1,wk flu hosp rate change,2024-01-27,08,pmf,large_decrease,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,08,pmf,stable,0.966
2024-01-20,2,wk flu hosp rate change,2024-02-03,08,pmf,increase,0.031
2024-01-20,2,wk flu hosp rate change,2024-02-03,08,pmf,large_increase,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,08,pmf,decrease,0.003
2024-01-20,2,wk flu hosp rate change,2024-02-03,08,pmf,large_decrease,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,08,pmf,stable,0.966
2024-01-20,3,wk flu hosp rate change,2024-02-10,08,pmf,increase,0.03
2024-01-20,3,wk flu hosp rate change,2024-02-10,08,pmf,large_increase,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,08,pmf,decrease,0.004
2024-01-20,3,wk flu hosp rate change,2024-02-10,08,pmf,large_decrease,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,09,pmf,stable,0.841
2024-01-20,0,wk flu hosp rate change,2024-01-20,09,pmf,increase,0.057
2024-01-20,0,wk flu hosp rate change,2024-01-20,09,pmf,large_increase,0.002
2024-01-20,0,wk flu hosp rate change,2024-01-20,09,pmf,decrease,0.096
2024-01-20,0,wk flu hosp rate change,2024-01-20,09,pmf,large_decrease,0.004
2024-01-20,1,wk flu hosp rate change,2024-01-27,09,pmf,stable,0.608
2024-01-20,1,wk flu hosp rate change,2024-01-27,09,pmf,increase,0.132
2024-01-20,1,wk flu hosp rate change,2024-01-27,09,pmf,large_increase,0.002
2024-01-20,1,wk flu hosp rate change,2024-01-27,09,pmf,decrease,0.251
2024-01-20,1,wk flu hosp rate change,2024-01-27,09,pmf,large_decrease,0.007
2024-01-20,2,wk flu hosp rate change,2024-02-03,09,pmf,stable,0.811
2024-01-20,2,wk flu hosp rate change,2024-02-03,09,pmf,increase,0.051
2024-01-20,2,wk flu hosp rate change,2024-02-03,09,pmf,large_increase,0.001
2024-01-20,2,wk flu hosp rate change,2024-02-03,09,pmf,decrease,0.13
2024-01-20,2,wk flu hosp rate change,2024-02-03,09,pmf,large_decrease,0.007
2024-01-20,3,wk flu hosp rate change,2024-02-10,09,pmf,stable,0.83
2024-01-20,3,wk flu hosp rate change,2024-02-10,09,pmf,increase,0.04
2024-01-20,3,wk flu hosp rate change,2024-02-10,09,pmf,large_increase,0.001
2024-01-20,3,wk flu hosp rate change,2024-02-10,09,pmf,decrease,0.126
2024-01-20,3,wk flu hosp rate change,2024-02-10,09,pmf,large_decrease,0.003
2024-01-20,0,wk flu hosp rate change,2024-01-20,10,pmf,stable,0.764
2024-01-20,0,wk flu hosp rate change,2024-01-20,10,pmf,increase,0.153
2024-01-20,0,wk flu hosp rate change,2024-01-20,10,pmf,large_increase,0.019
2024-01-20,0,wk flu hosp rate change,2024-01-20,10,pmf,decrease,0.06
2024-01-20,0,wk flu hosp rate change,2024-01-20,10,pmf,large_decrease,0.004
2024-01-20,1,wk flu hosp rate change,2024-01-27,10,pmf,stable,0.675
2024-01-20,1,wk flu hosp rate change,2024-01-27,10,pmf,increase,0.174
2024-01-20,1,wk flu hosp rate change,2024-01-27,10,pmf,large_increase,0.001
2024-01-20,1,wk flu hosp rate change,2024-01-27,10,pmf,decrease,0.15
2024-01-20,1,wk flu hosp rate change,2024-01-27,10,pmf,large_decrease,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,10,pmf,stable,0.93
2024-01-20,2,wk flu hosp rate change,2024-02-03,10,pmf,increase,0.03
2024-01-20,2,wk flu hosp rate change,2024-02-03,10,pmf,large_increase,0
2024-01-20,2,wk flu hosp rate change,2024-02-03,10,pmf,decrease,0.04
2024-01-20,2,wk flu hosp rate change,2024-02-03,10,pmf,large_decrease,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,10,pmf,stable,0.958
2024-01-20,3,wk flu hosp rate change,2024-02-10,10,pmf,increase,0.012
2024-01-20,3,wk flu hosp rate change,2024-02-10,10,pmf,large_increase,0
2024-01-20,3,wk flu hosp rate change,2024-02-10,10,pmf,decrease,0.03
2024-01-20,3,wk flu hosp rate change,2024-02-10,10,pmf,large_decrease,0
2024-01-20,0,wk flu hosp rate change,2024-01-20,12,pmf,stable,0.81
2024-01-20,0,wk flu hosp rate change,2024-01-20,12,pmf,increase,0.054
2024-01-20,0,wk flu hosp rate change,2024-01-20,12,pmf,large_increase,0.001
2024-01-20,0,wk flu hosp rate change,2024-01-20,12,pmf,decrease,0.128
2024-01-20,0,wk flu hosp rate change,2024-01-20,12,pmf,large_decrease,0.007
2024-01-20,1,wk flu hosp rate change,2024-01-27,12,pmf,stable,0.629
2024-01-20,1,wk flu hosp rate change,2024-01-27,12,pmf,increase,0.128
2024-01-20,1,wk flu hosp rate change,2024-01-27,12,pmf,large_increase,0.002
