reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.01,0
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.025,0
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.05,941
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.1,1613
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.15,2520
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.2,2580
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.25,4323
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.3,5109
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.35,6596
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.4,7068
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.45,8497
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.5,8588
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.55,9880
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.6,11830
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.65,13184
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.7,13736
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.75,14246
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.8,16737
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.85,18438
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.9,19702
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.95,21684
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.975,21685
2025-01-04,wk inc flu hosp,-1,2024-12-28,US,quantile,0.99,21685
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.01,0
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.025,0
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.05,831
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.1,1939
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.15,2901
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.2,4089
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.25,5200
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.3,5570
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.35,5886
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.4,6798
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.45,6924
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.5,7810
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.55,10189
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.6,10284
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.65,11073
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.7,11417
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.75,11638
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.8,11696
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.85,13033
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.9,13037
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.95,13305
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.975,13306
2025-01-04,wk inc flu hosp,0,2025-01-04,US,quantile,0.99,13330
2025-01-04,wk inc flu hosp,1,2025-01-11,US,quantile,0.01,0
2025-01-04,wk inc flu hosp,1,2025-01-11,US,quantile,0.025,0
