reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.01,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.025,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.05,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.1,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.15,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.2,0,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.25,2.284,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.3,6.775,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.35,11.993,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.4,14.799,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.45,17.988,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.5,21.987,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.55,25.847,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.6,30.735,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.65,36.394,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.7,40.122,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.75,43.569,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.8,50.627,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.85,56.667,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.9,63.494,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.95,66.734,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.975,76.375,0
2026-04-11,wk inc flu hosp,2026-04-11,01,quantile,0.99,89.969,0
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.01,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.025,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.05,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.1,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.15,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.2,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.25,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.3,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.35,0,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.4,6.299,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.45,12.092,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.5,17.65,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.55,21.245,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.6,25.643,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.65,33.469,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.7,40.609,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.75,47.691,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.8,59.119,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.85,61.989,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.9,71.434,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.95,80.317,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.975,86.325,1
2026-04-11,wk inc flu hosp,2026-04-18,01,quantile,0.99,92.378,1
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.01,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.025,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.05,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.1,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.15,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.2,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.25,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.3,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.35,0,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.4,2.891,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.45,9.602,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.5,15.65,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.55,22.271,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.6,29.383,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.65,40.22,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.7,53.136,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.75,59.825,2
2026-04-11,wk inc flu hosp,2026-04-25,01,quantile,0.8,63.901,2
