reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.01,19488
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.025,22886
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.05,25890
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.1,29332
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.15,31207
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.2,32760
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.25,34386
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.3,35583
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.35,36776
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.4,38358
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.45,39424
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.5,40595
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.55,42040
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.6,43615
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.65,44878
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.7,46526
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.75,48221
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.8,49568
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.85,52199
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.9,55832
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.95,60898
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.975,65672
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.99,73516
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.01,15464
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.025,17094
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.05,19779
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.1,23605
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.15,27024
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.2,29407
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.25,31164
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.3,33263
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.35,35230
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.4,37074
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.45,39036
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.5,41023
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.55,43097
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.6,45365
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.65,46898
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.7,49388
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.75,52014
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.8,55303
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.85,58762
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.9,63293
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.95,70199
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.975,80298
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.99,89128
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.01,8478
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.025,11082
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.05,14402
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.1,17991
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.15,21512
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.2,24191
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.25,27574
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.3,29790
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.35,31703
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.4,34181
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.45,36083
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.5,38416
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.55,40794
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.6,42936
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.65,46019
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.7,49421
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.75,53183
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.8,56207
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.85,60139
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.9,67997
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.95,78229
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.975,92645
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.99,110615
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.01,5100
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.025,7888
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.05,9621
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.1,13480
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.15,17365
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.2,21225
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.25,23967
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.3,26058
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.35,28202
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.4,30863
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.45,32680
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.5,34970
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.55,37231
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.6,40503
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.65,44242
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.7,47993
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.75,51886
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.8,55766
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.85,60978
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.9,71109
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.95,87606
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.975,105912
2025-01-11,wk inc flu hosp,3,2025-02-01,US,quantile,0.99,130142
2025-01-11,wk flu hosp rate change,0,2025-01-11,US,pmf,large_decrease,0.061
2025-01-11,wk flu hosp rate change,0,2025-01-11,US,pmf,decrease,0.149
2025-01-11,wk flu hosp rate change,0,2025-01-11,US,pmf,stable,0.253
2025-01-11,wk flu hosp rate change,0,2025-01-11,US,pmf,increase,0.235
2025-01-11,wk flu hosp rate change,0,2025-01-11,US,pmf,large_increase,0.302
2025-01-11,wk flu hosp rate change,1,2025-01-18,US,pmf,large_decrease,0.096
2025-01-11,wk flu hosp rate change,1,2025-01-18,US,pmf,decrease,0.117
2025-01-11,wk flu hosp rate change,1,2025-01-18,US,pmf,stable,0.338
2025-01-11,wk flu hosp rate change,1,2025-01-18,US,pmf,increase,0.16
2025-01-11,wk flu hosp rate change,1,2025-01-18,US,pmf,large_increase,0.289
2025-01-11,wk flu hosp rate change,2,2025-01-25,US,pmf,large_decrease,0.13
2025-01-11,wk flu hosp rate change,2,2025-01-25,US,pmf,decrease,0.129
2025-01-11,wk flu hosp rate change,2,2025-01-25,US,pmf,stable,0.373
2025-01-11,wk flu hosp rate change,2,2025-01-25,US,pmf,increase,0.118
2025-01-11,wk flu hosp rate change,2,2025-01-25,US,pmf,large_increase,0.25
2025-01-11,wk flu hosp rate change,3,2025-02-01,US,pmf,large_decrease,0.18
2025-01-11,wk flu hosp rate change,3,2025-02-01,US,pmf,decrease,0.17
2025-01-11,wk flu hosp rate change,3,2025-02-01,US,pmf,stable,0.307
2025-01-11,wk flu hosp rate change,3,2025-02-01,US,pmf,increase,0.106
2025-01-11,wk flu hosp rate change,3,2025-02-01,US,pmf,large_increase,0.237
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.01,306
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.025,354
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.05,416
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.1,483
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.15,512
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.2,546
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.25,573
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.3,597
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.35,623
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.4,647
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.45,670
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.5,699
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.55,724
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.6,749
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.65,774
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.7,805
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.75,834
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.8,872
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.85,920
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.9,979
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.95,1085
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.975,1218
2025-01-11,wk inc flu hosp,0,2025-01-11,01,quantile,0.99,1351
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.01,178
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.025,229
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.05,260
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.1,326
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.15,372
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.2,408
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.25,447
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.3,491
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.35,540
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.4,578
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.45,614
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.5,654
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.55,697
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.6,738
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.65,786
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.7,839
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.75,897
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.8,955
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.85,1027
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.9,1147
2025-01-11,wk inc flu hosp,1,2025-01-18,01,quantile,0.95,1314
