"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.01,0
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.025,1
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.05,1
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.1,2
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.15,3
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.2,3
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.25,4
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.3,4
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.35,5
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.4,5
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.45,5
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.5,6
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.55,6
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.6,7
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.65,8
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.7,8
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.75,9
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.8,10
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.85,11
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.9,13
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.95,16
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.975,18
2024-11-23,"wk inc flu hosp",0,2024-11-23,"02","quantile",0.99,22
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.01,0
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.025,1
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.05,1
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.1,2
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.15,2
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.2,3
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.25,3
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.3,4
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.35,4
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.4,5
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.45,5
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.5,6
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.55,7
2024-11-23,"wk inc flu hosp",1,2024-11-30,"02","quantile",0.6,7
