reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.01,1
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.025,1
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.05,2
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.1,3
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.15,4
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.2,4
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.25,5
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.3,5
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.35,6
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.4,7
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.45,7
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.5,8
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.55,8
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.6,9
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.65,10
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.7,10
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.75,11
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.8,12
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.85,14
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.9,16
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.95,19
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.975,23
2024-12-07,wk inc flu hosp,0,2024-12-07,02,quantile,0.99,26
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.01,0
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.025,1
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.05,1
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.1,2
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.15,3
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.2,4
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.25,4
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.3,5
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.35,5
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.4,6
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.45,7
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.5,7
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.55,8
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.6,9
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.65,10
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.7,11
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.75,12
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.8,13
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.85,15
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.9,18
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.95,22
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.975,27
2024-12-07,wk inc flu hosp,1,2024-12-14,02,quantile,0.99,34
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.01,0
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.025,1
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.05,1
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.1,2
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.15,3
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.2,4
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.25,4
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.3,5
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.35,5
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.4,6
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.45,7
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.5,8
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.55,9
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.6,9
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.65,11
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.7,12
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.75,13
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.8,15
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.85,18
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.9,21
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.95,29
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.975,35
2024-12-07,wk inc flu hosp,2,2024-12-21,02,quantile,0.99,46
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.01,0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.025,0
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.05,1
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.1,2
2024-12-07,wk inc flu hosp,3,2024-12-28,02,quantile,0.15,2
