reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.01,740
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.025,874
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.05,952
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.1,1020
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.15,1072
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.2,1119
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.25,1154
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.3,1191
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.35,1224
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.4,1256
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.45,1289
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.5,1315
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.55,1346
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.6,1387
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.65,1421
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.7,1458
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.75,1497
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.8,1540
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.85,1597
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.9,1682
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.95,1807
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.975,2030
2026-05-16,wk inc flu hosp,0,2026-05-16,US,quantile,0.99,2442
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.01,458
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.025,603
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.05,688
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.1,793
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.15,838
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.2,892
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.25,947
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.3,994
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.35,1045
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.4,1093
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.45,1140
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.5,1210
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.55,1271
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.6,1335
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.65,1377
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.7,1424
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.75,1490
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.8,1551
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.85,1652
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.9,1750
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.95,1898
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.975,2119
2026-05-16,wk inc flu hosp,1,2026-05-23,US,quantile,0.99,2965
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.01,294
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.025,470
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.05,540
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.1,613
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.15,666
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.2,720
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.25,772
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.3,833
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.35,909
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.4,965
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.45,1050
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.5,1116
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.55,1191
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.6,1257
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.65,1335
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.7,1406
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.75,1477
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.8,1561
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.85,1643
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.9,1798
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.95,1946
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.975,2286
2026-05-16,wk inc flu hosp,2,2026-05-30,US,quantile,0.99,3712
2026-05-16,wk inc flu hosp,3,2026-06-06,US,quantile,0.01,181
2026-05-16,wk inc flu hosp,3,2026-06-06,US,quantile,0.025,324
2026-05-16,wk inc flu hosp,3,2026-06-06,US,quantile,0.05,399
2026-05-16,wk inc flu hosp,3,2026-06-06,US,quantile,0.1,497
2026-05-16,wk inc flu hosp,3,2026-06-06,US,quantile,0.15,564
