"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0200",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0200",36
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0200",39
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0200",35
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0200",37
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0201",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0201",36
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0201",39
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0201",35
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0201",37
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0202",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0202",39
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0202",35
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0202",37
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0202",44
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0203",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0203",39
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0203",35
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0203",37
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0203",44
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0204",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0204",39
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0204",35
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0204",37
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0204",44
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0205",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0205",32
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0205",34
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0205",41
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0205",43
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0206",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0206",32
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0206",34
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0206",41
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0206",43
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0207",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0207",38
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0207",46
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0207",48
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0207",48
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0208",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0208",38
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0208",46
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0208",48
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0208",48
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0209",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0209",38
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0209",46
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0209",48
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0209",48
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0210",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0210",38
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0210",46
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0210",48
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0210",48
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0211",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0211",38
2025-01-18,"wk inc flu hosp",1,2025-01-25,"02","sample","0211",46
2025-01-18,"wk inc flu hosp",2,2025-02-01,"02","sample","0211",48
2025-01-18,"wk inc flu hosp",3,2025-02-08,"02","sample","0211",48
2025-01-18,"wk inc flu hosp",-1,2025-01-11,"02","sample","0212",36
2025-01-18,"wk inc flu hosp",0,2025-01-18,"02","sample","0212",38
