reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.01,18848.29610718556
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.025,20275.2062377142
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.05,22446.548775000043
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.1,24258.18486243312
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.15,25479.72002155024
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.2,26471.18568575518
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.25,27153.60780780916
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.3,27780.401796066388
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.35,28293.914801601084
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.4,28792.09709872583
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.45,29278.21981879304
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.5,29723.267214893684
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.55,30023.433816194305
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.6,30391.49037335881
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.65,30747.68887004938
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.7,31078.043888565982
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.75,31513.17874783064
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.8,32073.91099901803
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.85,33009.01576255534
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.9,33990.80372330964
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.95,35847.8187209012
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.975,38006.05329625722
2025-01-18,wk inc flu hosp,0,2025-01-18,US,quantile,0.99,39970.67670825187
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.01,15620.31853075779
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.025,17396.47606569444
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.05,18892.886638126623
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.1,21374.297363243408
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.15,22759.12465373136
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.2,23727.88056753955
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.25,24755.94104804212
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.3,25692.696167443464
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.35,26508.35776041728
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.4,27184.991767118718
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.45,27816.291894011283
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.5,28290.166591711248
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.55,28615.501846057126
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.6,29000.33632272496
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.65,29431.12792320035
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.7,29906.65440302309
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.75,30541.762988727667
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.8,31253.58467196601
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.85,32009.452050193733
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.9,33268.16277275845
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.95,36027.38367243051
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.975,37853.84594068957
2025-01-18,wk inc flu hosp,1,2025-01-25,US,quantile,0.99,40411.12396925035
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.01,13877.57541536887
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.025,15336.987297483844
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.05,16941.71716575374
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.1,19004.70087731572
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.15,20721.21821300898
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.2,21854.625855129223
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.25,22773.23271326452
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.3,23751.07651794824
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.35,24760.14759194849
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.4,25711.15109829176
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.45,26242.24572487546
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.5,26732.18841330188
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.55,27166.56279235726
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.6,27723.126737032635
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.65,28204.23041873082
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.7,28894.55977817206
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.75,29613.274879763227
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.8,30379.38968586578
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.85,31453.945259760087
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.9,33362.797523628346
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.95,35728.69254432683
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.975,37895.19474899327
2025-01-18,wk inc flu hosp,2,2025-02-01,US,quantile,0.99,40105.95897977836
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.01,12028.686512503748
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.025,13884.871497300785
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.05,15544.460962471128
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.1,17579.14351233052
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.15,19046.98845208961
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.2,20344.30665782721
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.25,21219.439252710272
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.3,22028.142889888983
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.35,22934.467519985024
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.4,24041.512794942708
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.45,24733.871618675912
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.5,25209.04828859269
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.55,25638.685700307065
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.6,26194.31204475613
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.65,26905.409225415995
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.7,27555.52248233223
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.75,28527.27250347901
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.8,29623.37599128929
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.85,31093.73984852685
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.9,32706.82253096776
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.95,35649.15527315277
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.975,37938.43425789764
2025-01-18,wk inc flu hosp,3,2025-02-08,US,quantile,0.99,40612.53615781423
