reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.01,0
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.025,0
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.05,15
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.1,22
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.15,25
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.2,27
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.25,28
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.3,28
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.35,29
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.4,29
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.45,29
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.5,30
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.55,30
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.6,31
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.65,32
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.7,33
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.75,35
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.8,38
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.85,41
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.9,47
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.95,59
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.975,75
2024-12-07,wk inc flu hosp,-1,2024-11-30,53,quantile,0.99,172
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.01,0
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.025,13
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.05,23
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.1,29
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.15,31
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.2,32
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.25,33
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.3,34
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.35,34
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.4,34
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.45,35
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.5,35
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.55,35
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.6,37
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.65,37
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.7,39
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.75,42
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.8,44
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.85,47
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.9,53
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.95,73
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.975,88
2024-12-07,wk inc flu hosp,0,2024-12-07,53,quantile,0.99,181
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.01,0
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.025,17
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.05,26
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.1,32
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.15,34
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.2,35
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.25,36
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.3,37
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.35,37
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.4,37
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.45,38
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.5,38
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.55,39
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.6,40
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.65,41
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.7,42
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.75,44
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.8,48
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.85,51
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.9,57
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.95,77
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.975,157
2024-12-07,wk inc flu hosp,1,2024-12-14,53,quantile,0.99,180
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.01,0
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.025,21
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.05,28
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.1,35
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.15,36
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.2,37
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.25,38
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.3,39
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.35,40
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.4,40
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.45,40
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.5,41
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.55,41
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.6,42
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.65,43
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.7,45
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.75,47
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.8,51
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.85,53
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.9,59
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.95,79
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.975,159
2024-12-07,wk inc flu hosp,2,2024-12-21,53,quantile,0.99,188
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.01,0
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.025,22
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.05,29
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.1,35
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.15,37
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.2,38
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.25,39
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.3,41
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.35,41
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.4,41
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.45,41
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.5,42
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.55,42
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.6,43
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.65,44
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.7,46
2024-12-07,wk inc flu hosp,3,2024-12-28,53,quantile,0.75,47
