reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.01,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.025,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.05,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.1,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.15,40.07189870834351
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.2,48.01284698486329
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.25,51.58084321022033
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.3,52.40429471969604
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.35,54.90703039169311
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.4,55.69349433898925
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.45,59.55162777900696
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.5,65.6450424194336
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.55,70.77437624931335
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.6,74.63250968933106
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.65,75.4189736366272
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.7,77.92170930862427
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.75,78.74516081809998
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.8,82.31315704345702
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.85,90.2541053199768
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.9,134.26060760498046
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.95,222.70304107666016
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.975,222.70304107666016
2024-04-06,0,wk inc flu hosp,2024-04-06,01,quantile,0.99,222.70304107666016
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.01,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.025,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.05,0.0
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.1,2.42556373596193
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.15,5.80641657829286
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.2,7.714593238830565
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.25,9.063820695877077
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.3,9.247453286647795
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.35,9.44359006881714
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.4,10.070090656280518
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.45,11.572547504901886
2024-04-06,0,wk inc flu hosp,2024-04-06,02,quantile,0.5,11.698028564453123
