location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,73.25591759503486,2025-04-05,2025-04-05,quantile,wk inc flu hosp
02,0,0.01,6.306549884126612,2025-04-05,2025-04-05,quantile,wk inc flu hosp
04,0,0.01,68.34416203098472,2025-04-05,2025-04-05,quantile,wk inc flu hosp
05,0,0.01,28.38064391720575,2025-04-05,2025-04-05,quantile,wk inc flu hosp
06,0,0.01,187.28163304519643,2025-04-05,2025-04-05,quantile,wk inc flu hosp
08,0,0.01,45.45182182945277,2025-04-05,2025-04-05,quantile,wk inc flu hosp
09,0,0.01,22.957224717612533,2025-04-05,2025-04-05,quantile,wk inc flu hosp
10,0,0.01,0.16778281138014564,2025-04-05,2025-04-05,quantile,wk inc flu hosp
11,0,0.01,26.121904993613875,2025-04-05,2025-04-05,quantile,wk inc flu hosp
12,0,0.01,332.7513636117948,2025-04-05,2025-04-05,quantile,wk inc flu hosp
13,0,0.01,65.90683861932243,2025-04-05,2025-04-05,quantile,wk inc flu hosp
15,0,0.01,12.460968802539448,2025-04-05,2025-04-05,quantile,wk inc flu hosp
16,0,0.01,13.169002608782673,2025-04-05,2025-04-05,quantile,wk inc flu hosp
17,0,0.01,105.75282885961997,2025-04-05,2025-04-05,quantile,wk inc flu hosp
18,0,0.01,82.49106925692926,2025-04-05,2025-04-05,quantile,wk inc flu hosp
19,0,0.01,9.345885026663048,2025-04-05,2025-04-05,quantile,wk inc flu hosp
20,0,0.01,18.797116794402275,2025-04-05,2025-04-05,quantile,wk inc flu hosp
21,0,0.01,84.20407009639574,2025-04-05,2025-04-05,quantile,wk inc flu hosp
22,0,0.01,79.1063712898249,2025-04-05,2025-04-05,quantile,wk inc flu hosp
23,0,0.01,20.10609602824291,2025-04-05,2025-04-05,quantile,wk inc flu hosp
24,0,0.01,39.624999122499446,2025-04-05,2025-04-05,quantile,wk inc flu hosp
25,0,0.01,81.75543934602419,2025-04-05,2025-04-05,quantile,wk inc flu hosp
26,0,0.01,220.65562363276197,2025-04-05,2025-04-05,quantile,wk inc flu hosp
27,0,0.01,13.17843511336035,2025-04-05,2025-04-05,quantile,wk inc flu hosp
28,0,0.01,9.04103974977161,2025-04-05,2025-04-05,quantile,wk inc flu hosp
29,0,0.01,30.711394341560798,2025-04-05,2025-04-05,quantile,wk inc flu hosp
30,0,0.01,18.471187668176835,2025-04-05,2025-04-05,quantile,wk inc flu hosp
31,0,0.01,10.12118421305754,2025-04-05,2025-04-05,quantile,wk inc flu hosp
32,0,0.01,27.746512651301842,2025-04-05,2025-04-05,quantile,wk inc flu hosp
33,0,0.01,85.7010890204953,2025-04-05,2025-04-05,quantile,wk inc flu hosp
34,0,0.01,132.70781293747476,2025-04-05,2025-04-05,quantile,wk inc flu hosp
35,0,0.01,9.228921193245194,2025-04-05,2025-04-05,quantile,wk inc flu hosp
36,0,0.01,236.5480199337187,2025-04-05,2025-04-05,quantile,wk inc flu hosp
37,0,0.01,96.08060533336015,2025-04-05,2025-04-05,quantile,wk inc flu hosp
38,0,0.01,6.34802413019821,2025-04-05,2025-04-05,quantile,wk inc flu hosp
39,0,0.01,139.47932880736758,2025-04-05,2025-04-05,quantile,wk inc flu hosp
40,0,0.01,10.621480708745201,2025-04-05,2025-04-05,quantile,wk inc flu hosp
41,0,0.01,22.133442775698853,2025-04-05,2025-04-05,quantile,wk inc flu hosp
42,0,0.01,464.5005419436762,2025-04-05,2025-04-05,quantile,wk inc flu hosp
44,0,0.01,4.140598540458931,2025-04-05,2025-04-05,quantile,wk inc flu hosp
45,0,0.01,47.03080400371666,2025-04-05,2025-04-05,quantile,wk inc flu hosp
46,0,0.01,1.2672001297694149,2025-04-05,2025-04-05,quantile,wk inc flu hosp
47,0,0.01,86.58595904507969,2025-04-05,2025-04-05,quantile,wk inc flu hosp
48,0,0.01,264.46616852723054,2025-04-05,2025-04-05,quantile,wk inc flu hosp
49,0,0.01,20.22019650346502,2025-04-05,2025-04-05,quantile,wk inc flu hosp
50,0,0.01,8.11708976962108,2025-04-05,2025-04-05,quantile,wk inc flu hosp
51,0,0.01,66.5586768729311,2025-04-05,2025-04-05,quantile,wk inc flu hosp
53,0,0.01,33.25673041614025,2025-04-05,2025-04-05,quantile,wk inc flu hosp
54,0,0.01,63.301428798369834,2025-04-05,2025-04-05,quantile,wk inc flu hosp
55,0,0.01,49.2056821541894,2025-04-05,2025-04-05,quantile,wk inc flu hosp
56,0,0.01,5.341257830766831,2025-04-05,2025-04-05,quantile,wk inc flu hosp
72,0,0.01,74.25555619070937,2025-04-05,2025-04-05,quantile,wk inc flu hosp
US,0,0.01,4141.015039218508,2025-04-05,2025-04-05,quantile,wk inc flu hosp
01,0,0.025,82.83560982069893,2025-04-05,2025-04-05,quantile,wk inc flu hosp
02,0,0.025,8.030118903389813,2025-04-05,2025-04-05,quantile,wk inc flu hosp
04,0,0.025,77.3517977302346,2025-04-05,2025-04-05,quantile,wk inc flu hosp
05,0,0.025,33.90720607211304,2025-04-05,2025-04-05,quantile,wk inc flu hosp
06,0,0.025,210.21900898694113,2025-04-05,2025-04-05,quantile,wk inc flu hosp
08,0,0.025,51.86105837887119,2025-04-05,2025-04-05,quantile,wk inc flu hosp
09,0,0.025,27.979131719930898,2025-04-05,2025-04-05,quantile,wk inc flu hosp
10,0,0.025,0.9930067256880248,2025-04-05,2025-04-05,quantile,wk inc flu hosp
11,0,0.025,32.565138585301064,2025-04-05,2025-04-05,quantile,wk inc flu hosp
12,0,0.025,358.994565720359,2025-04-05,2025-04-05,quantile,wk inc flu hosp
13,0,0.025,75.03173650130087,2025-04-05,2025-04-05,quantile,wk inc flu hosp
15,0,0.025,14.384559656807538,2025-04-05,2025-04-05,quantile,wk inc flu hosp
16,0,0.025,17.05209704106264,2025-04-05,2025-04-05,quantile,wk inc flu hosp
17,0,0.025,116.18710265744284,2025-04-05,2025-04-05,quantile,wk inc flu hosp
18,0,0.025,92.01874150070738,2025-04-05,2025-04-05,quantile,wk inc flu hosp
19,0,0.025,12.662949466618437,2025-04-05,2025-04-05,quantile,wk inc flu hosp
20,0,0.025,23.584228941737354,2025-04-05,2025-04-05,quantile,wk inc flu hosp
21,0,0.025,100.01931121856,2025-04-05,2025-04-05,quantile,wk inc flu hosp
22,0,0.025,89.64472932955194,2025-04-05,2025-04-05,quantile,wk inc flu hosp
23,0,0.025,23.08901657576361,2025-04-05,2025-04-05,quantile,wk inc flu hosp
24,0,0.025,45.37484657912062,2025-04-05,2025-04-05,quantile,wk inc flu hosp
25,0,0.025,88.82821499289692,2025-04-05,2025-04-05,quantile,wk inc flu hosp
26,0,0.025,244.54000145929373,2025-04-05,2025-04-05,quantile,wk inc flu hosp
27,0,0.025,17.055342109845835,2025-04-05,2025-04-05,quantile,wk inc flu hosp
28,0,0.025,12.5969946863984,2025-04-05,2025-04-05,quantile,wk inc flu hosp
29,0,0.025,36.40846905503506,2025-04-05,2025-04-05,quantile,wk inc flu hosp
30,0,0.025,22.45040240300988,2025-04-05,2025-04-05,quantile,wk inc flu hosp
31,0,0.025,12.647855338363202,2025-04-05,2025-04-05,quantile,wk inc flu hosp
32,0,0.025,32.56868021874989,2025-04-05,2025-04-05,quantile,wk inc flu hosp
33,0,0.025,91.82342056348654,2025-04-05,2025-04-05,quantile,wk inc flu hosp
34,0,0.025,143.92282599107006,2025-04-05,2025-04-05,quantile,wk inc flu hosp
35,0,0.025,13.77430019655727,2025-04-05,2025-04-05,quantile,wk inc flu hosp
36,0,0.025,251.5407427769644,2025-04-05,2025-04-05,quantile,wk inc flu hosp
37,0,0.025,107.26410290585542,2025-04-05,2025-04-05,quantile,wk inc flu hosp
38,0,0.025,7.839265800210999,2025-04-05,2025-04-05,quantile,wk inc flu hosp
39,0,0.025,164.60487530744848,2025-04-05,2025-04-05,quantile,wk inc flu hosp
40,0,0.025,14.492986197033185,2025-04-05,2025-04-05,quantile,wk inc flu hosp
41,0,0.025,26.861604493492237,2025-04-05,2025-04-05,quantile,wk inc flu hosp
42,0,0.025,493.3939704520165,2025-04-05,2025-04-05,quantile,wk inc flu hosp
44,0,0.025,5.595953408965555,2025-04-05,2025-04-05,quantile,wk inc flu hosp
45,0,0.025,55.39011269462654,2025-04-05,2025-04-05,quantile,wk inc flu hosp
46,0,0.025,2.0885243083522025,2025-04-05,2025-04-05,quantile,wk inc flu hosp
47,0,0.025,99.57030221302699,2025-04-05,2025-04-05,quantile,wk inc flu hosp
48,0,0.025,285.11425455160963,2025-04-05,2025-04-05,quantile,wk inc flu hosp
49,0,0.025,24.00560847712006,2025-04-05,2025-04-05,quantile,wk inc flu hosp
50,0,0.025,10.377146989118575,2025-04-05,2025-04-05,quantile,wk inc flu hosp
