reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.01,0
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.025,0.7589618314624818
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.05,2.251582230395117
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.1,3.7472177414345613
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.15,4.596380172570789
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.2,5.3438386581472175
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.25,6.313018840520548
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.3,8.102365185860245
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.35,9.373105409787934
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.4,10.548189749672858
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.45,11.76848142371524
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.5,13.29885261864076
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.55,14.656031925784285
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.6,16.48655726947381
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.65,17.856948298922248
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.7,19.28698397703915
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.75,20.674488767303107
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.8,22.955704669590023
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.85,25.3329646206789
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.9,28.077163993711757
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.95,31.606013640184894
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.975,35.64129673745251
2024-04-27,01,0,wk inc flu hosp,2024-04-27,quantile,0.99,41.622358708169784
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.01,0
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.025,0
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.05,0.778581055609648
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.1,1.53000280128107
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.15,2.8075931463673798
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.2,3.594127118918795
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.25,4.391902888642497
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.3,6.19884273412952
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.35,7.256077501915437
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.4,8.376997655074085
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.45,9.5875427704177
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.5,11.497184633595179
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.55,12.874449863359294
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.6,14.790880528722766
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.65,16.4996928545894
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.7,18.323023873871296
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.75,20.571274959404853
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.8,23.379797052750813
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.85,26.159828706813435
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.9,30.736441064044918
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.95,36.16942526085523
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.975,42.98975698502405
2024-04-27,01,1,wk inc flu hosp,2024-05-04,quantile,0.99,50.5937480623986
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.01,0
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.025,0
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.05,0
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.1,0.40767276583020007
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.15,0.48854712670586514
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.2,1.19913277317623
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.25,2.2765113299631623
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.3,3.861814919161615
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.35,5.289267003402702
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.4,6.093787787664427
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.45,7.556076906746584
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.5,9.82495839714979
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.55,11.604737814660034
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.6,14.147770615847598
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.65,16.048988135040453
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.7,18.436695982417437
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.75,20.988087869594743
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.8,24.462420796620325
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.85,27.639212671760664
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.9,33.44636290852868
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.95,42.63796071836535
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.975,51.41203343542038
2024-04-27,01,2,wk inc flu hosp,2024-05-11,quantile,0.99,68.66904095997957
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.01,0
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.025,0
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.05,0
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.1,0
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.15,0
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.2,0.4987602867135066
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.25,1.5726668336549534
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.3,2.997262647002562
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.35,4.451798423452436
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.4,5.953105255060174
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.45,7.800768825289932
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.5,9.98663338758055
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.55,12.336887091305403
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.6,15.35681895475304
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.65,17.50233105758783
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.7,19.571130822477777
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.75,22.674374044295604
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.8,26.77442140886506
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.85,31.79528038562266
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.9,39.240168925045474
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.95,50.62335611820974
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.975,64.50385589857413
2024-04-27,01,3,wk inc flu hosp,2024-05-18,quantile,0.99,82.05470541413771
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.01,0
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.025,0
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.05,0
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.1,0
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.15,0
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.2,0.1303358793471856
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.25,0.37954112328374506
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.3,0.5789300931758351
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.35,0.7751115732816608
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.4,1.0145516193703046
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.45,1.3083933287355816
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.5,1.5159070172936193
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.55,1.71987016351487
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.6,2.0459753563062013
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.65,2.4918597904625557
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.7,3.0190231066480675
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.75,3.4536535769711727
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.8,4.108541140073966
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.85,5.136239302875159
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.9,6.1540223277888755
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.95,7.378339840041178
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.975,8.40169775046696
2024-04-27,02,0,wk inc flu hosp,2024-04-27,quantile,0.99,9.462285047564892
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.01,0
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.025,0
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.05,0
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.1,0
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.15,0
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.2,0.06070235856739042
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.25,0.2658637355234362
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.3,0.43090717020496133
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.35,0.5592568967249006
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.4,0.6718238425694674
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.45,0.8535809888334881
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.5,1.0801016400621437
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.55,1.304563177638001
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.6,1.693515345250062
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.65,2.2408199057667884
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.7,2.8932769837240797
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.75,3.4552046562772976
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.8,4.168432453454322
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.85,5.370644463842408
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.9,6.738827933689158
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.95,8.727360002692858
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.975,9.970497939429311
2024-04-27,02,1,wk inc flu hosp,2024-05-04,quantile,0.99,12.204263050739812
